cell,drug1_db,drug2_db,synergy,synergistic
47,10,0,0,0
2,10,18,0,0
111,6,18,0,0
75,12,40,1,1
31,58,13,0,0
118,11,62,0,0
70,48,27,0,0
60,46,54,0,0
27,6,33,0,0
6,62,10,0,0
47,10,60,0,0
112,9,38,0,0
90,6,49,0,0
96,34,38,1,1
102,9,48,0,0
4,6,56,0,0
120,16,43,0,0
79,12,0,0,0
101,38,30,0,0
84,61,22,0,0
30,32,38,0,0
57,45,15,0,0
96,34,40,1,1
41,10,58,0,0
45,23,43,0,0
98,32,43,0,0
41,13,62,0,0
120,3,45,0,0
5,24,34,0,0
71,46,36,0,0
65,14,15,0,0
6,0,26,0,0
21,48,5,0,0
29,62,56,0,0
58,9,12,0,0
120,56,59,0,0
108,10,45,1,1
96,14,61,0,0
44,59,4,0,0
35,56,1,0,0
29,61,38,0,0
29,9,28,0,0
60,13,61,1,1
62,56,45,0,0
7,62,46,0,0
104,45,23,0,0
117,27,49,0,0
10,23,59,0,0
93,38,44,0,0
85,38,29,0,0
117,6,5,0,0
82,4,7,0,0
85,47,49,0,0
96,32,11,0,0
31,38,20,0,0
111,40,52,0,0
121,11,48,0,0
4,58,9,1,1
49,59,60,0,0
85,34,50,0,0
98,14,34,0,0
64,40,32,0,0
18,15,3,0,0
69,12,7,0,0
102,41,38,0,0
51,16,19,0,0
120,56,51,0,0
65,40,7,0,0
112,37,43,0,0
110,43,14,0,0
12,35,2,0,0
93,47,15,1,1
69,10,23,0,0
39,34,26,0,0
29,6,48,0,0
39,16,37,0,0
72,16,4,0,0
6,12,56,0,0
54,41,59,0,0
40,61,15,0,0
26,62,44,0,0
53,15,55,0,0
122,7,39,0,0
19,34,4,1,1
44,4,6,0,0
27,41,29,0,0
16,11,59,0,0
118,47,46,0,0
49,38,22,0,0
55,13,34,0,0
49,6,22,0,0
106,9,27,0,0
107,43,61,0,0
73,61,25,0,0
63,59,34,0,0
66,11,13,0,0
121,62,8,0,0
73,25,34,0,0
34,0,53,0,0
75,7,18,0,0
105,4,3,0,0
34,34,7,0,0
123,15,55,0,0
6,46,20,0,0
50,4,59,0,0
12,4,1,0,0
50,6,23,0,0
121,28,1,0,0
39,6,15,0,0
113,51,5,0,0
73,10,30,0,0
106,51,59,0,0
1,11,45,0,0
115,16,59,0,0
7,46,22,0,0
0,47,8,0,0
48,25,34,0,0
16,51,9,0,0
93,0,41,0,0
40,59,11,0,0
98,12,14,0,0
9,12,6,0,0
31,12,3,0,0
20,41,62,0,0
20,13,20,0,0
109,62,20,0,0
34,41,13,0,0
117,28,19,0,0
4,28,9,0,0
87,35,34,1,1
63,47,41,0,0
28,59,40,0,0
8,58,15,0,0
83,15,59,0,0
54,47,1,0,0
