cell,drug1_db,drug2_db,synergy,synergistic
61,48,15,0,0
124,48,0,0,0
96,11,41,0,0
61,62,37,0,0
23,22,3,0,0
82,55,8,0,0
120,37,53,0,0
84,53,3,0,0
29,37,13,0,0
4,48,60,0,0
99,21,7,0,0
105,10,5,0,0
37,10,4,0,0
106,21,17,0,0
6,45,15,0,0
100,51,30,0,0
78,4,21,0,0
93,1,4,0,0
84,45,24,0,0
23,33,45,0,0
25,54,31,0,0
73,8,6,0,0
52,37,32,0,0
29,7,26,0,0
94,7,12,0,0
41,7,55,0,0
85,37,47,0,0
33,40,37,0,0
27,47,3,0,0
68,1,45,0,0
51,28,39,0,0
95,56,16,0,0
77,6,55,0,0
22,12,3,0,0
84,47,42,0,0
98,30,57,0,0
117,33,38,0,0
83,15,35,0,0
21,32,54,0,0
41,15,45,0,0
107,62,37,0,0
25,33,48,0,0
88,47,57,0,0
37,4,2,0,0
101,30,0,0,0
100,47,40,0,0
49,15,21,0,0
21,33,4,0,0
41,54,55,0,0
14,17,53,0,0
84,11,7,0,0
19,3,21,0,0
49,33,60,0,0
63,45,5,0,0
81,40,3,0,0
86,18,30,0,0
79,61,60,0,0
124,4,39,0,0
69,52,37,0,0
71,4,28,0,0
93,36,47,0,0
5,54,31,0,0
61,37,53,0,0
4,11,0,0,0
116,57,41,0,0
48,30,58,0,0
14,3,48,0,0
99,54,46,0,0
27,5,45,1,1
41,45,56,0,0
19,7,11,0,0
21,0,14,0,0
43,0,39,0,0
19,28,17,0,0
7,21,33,0,0
110,17,48,0,0
36,3,43,0,0
26,56,25,0,0
65,41,45,0,0
3,52,49,0,0
49,28,3,0,0
18,5,16,0,0
101,48,18,0,0
41,21,53,1,1
29,10,54,0,0
111,21,18,0,0
4,17,54,0,0
86,30,57,0,0
51,10,20,0,0
101,32,34,0,0
108,8,37,0,0
117,54,34,0,0
49,62,11,0,0
108,22,54,0,0
108,52,58,0,0
51,61,53,0,0
43,11,39,0,0
108,29,31,0,0
50,57,38,0,0
113,30,55,0,0
30,37,41,0,0
101,28,48,0,0
78,21,16,0,0
91,1,16,0,0
21,61,27,0,0
5,30,58,0,0
97,8,49,0,0
124,55,7,0,0
28,0,26,0,0
35,30,32,0,0
117,30,20,0,0
60,37,7,0,0
41,10,3,0,0
84,30,23,0,0
56,25,28,0,0
94,47,40,0,0
20,54,21,0,0
65,36,37,0,0
3,47,3,0,0
51,17,62,0,0
72,61,62,0,0
62,6,53,0,0
119,55,54,0,0
57,29,43,0,0
46,37,51,0,0
70,37,41,0,0
80,18,53,0,0
52,61,31,0,0
124,3,56,0,0
47,6,58,0,0
100,21,17,0,0
72,61,44,0,0
35,45,23,0,0
73,6,43,0,0
44,56,25,0,0
105,10,18,0,0
22,33,10,0,0
93,17,38,0,0
36,58,12,0,0
67,41,25,0,0
0,31,38,0,0
112,55,30,1,1
23,45,21,0,0
69,52,29,0,0
75,51,4,1,1
64,48,15,0,0
94,17,60,0,0
86,21,10,0,0
60,51,2,0,0
34,11,30,0,0
26,57,36,0,0
43,53,57,0,0
103,28,38,0,0
29,21,35,0,0
8,17,40,0,0
52,55,23,0,0
84,62,14,0,0
92,54,52,0,0
65,21,25,0,0
13,3,0,0,0
4,37,62,0,0
64,0,54,0,0
107,30,2,0,0
63,17,38,0,0
26,17,16,0,0
63,28,37,0,0
97,17,55,0,0
61,7,12,0,0
2,21,8,0,0
58,47,17,0,0
28,32,44,0,0
71,3,21,0,0
32,37,10,0,0
53,37,45,0,0
107,11,48,0,0
45,7,26,0,0
43,17,59,0,0
99,45,2,0,0
77,17,45,0,0
25,18,13,0,0
20,33,52,0,0
73,45,31,0,0
101,62,45,0,0
79,54,5,0,0
107,3,39,0,0
54,0,10,0,0
49,45,0,0,0
120,47,35,0,0
45,62,48,0,0
71,37,17,0,0
58,54,44,0,0
32,4,28,0,0
25,61,18,0,0
14,21,9,0,0
73,29,10,0,0
83,32,4,0,0
108,52,37,0,0
111,10,28,0,0
43,11,19,0,0
23,58,53,0,0
97,30,53,0,0
35,17,26,0,0
111,51,55,0,0
92,62,32,0,0
49,51,9,0,0
32,21,26,0,0
26,31,30,0,0
102,33,38,0,0
119,32,19,0,0
14,28,38,0,0
30,57,55,0,0
85,5,30,0,0
101,47,38,1,1
30,53,21,0,0
124,3,35,0,0
99,54,50,0,0
61,32,54,1,1
31,15,37,0,0
21,30,42,0,0
24,49,21,0,0
4,10,56,0,0
68,36,47,0,0
10,48,9,0,0
30,57,53,0,0
16,37,25,0,0
121,21,33,0,0
52,37,47,0,0
106,51,45,0,0
46,21,51,0,0
72,15,13,0,0
6,11,30,0,0
116,56,1,0,0
97,11,58,0,0
54,7,21,0,0
55,30,17,0,0
122,4,51,0,0
117,61,7,0,0
106,55,58,1,1
124,7,13,0,0
52,4,11,0,0
6,3,55,0,0
9,4,36,0,0
42,10,27,0,0
103,36,51,0,0
102,33,23,0,0
29,0,10,0,0
40,21,41,0,0
54,11,57,0,0
35,62,34,0,0
79,10,56,0,0
79,55,27,0,0
39,37,25,0,0
67,57,56,0,0
37,51,39,0,0
66,25,5,0,0
99,3,18,0,0
83,37,57,0,0
13,17,38,0,0
27,25,5,0,0
77,37,51,0,0
113,49,3,0,0
108,17,49,0,0
113,37,10,0,0
15,32,39,0,0
49,7,48,0,0
47,58,37,1,1
82,10,33,0,0
14,55,50,0,0
120,11,28,0,0
19,33,51,0,0
122,8,38,0,0
121,33,38,0,0
114,21,16,0,0
71,3,39,0,0
117,45,5,0,0
69,21,31,0,0
49,32,46,0,0
77,22,21,1,1
8,53,55,1,1
64,0,19,0,0
109,5,36,0,0
86,54,38,0,0
43,37,27,0,0
32,30,5,0,0
42,0,53,0,0
11,30,1,0,0
29,21,17,0,0
7,55,3,0,0
32,28,14,0,0
60,30,32,0,0
11,53,17,0,0
84,32,30,0,0
24,58,43,0,0
2,30,16,0,0
70,17,6,0,0
19,32,47,0,0
42,0,46,0,0
23,52,47,0,0
107,53,32,0,0
124,10,13,0,0
0,16,28,0,0
92,15,35,0,0
92,18,60,0,0
41,53,42,0,0
86,30,60,0,0
45,55,12,0,0
80,48,52,0,0
101,61,35,0,0
29,55,23,0,0
14,54,50,0,0
94,61,34,0,0
123,16,5,0,0
75,51,3,0,0
51,33,26,0,0
9,41,55,0,0
10,28,10,0,0
86,45,7,0,0
102,32,59,0,0
98,8,31,0,0
21,61,47,0,0
105,54,4,0,0
51,33,47,0,0
21,45,17,0,0
96,52,51,0,0
38,48,21,0,0
90,3,31,0,0
80,61,32,0,0
10,47,45,0,0
21,61,26,0,0
14,61,44,0,0
35,55,39,0,0
107,17,4,0,0
36,47,3,0,0
13,21,20,0,0
76,25,38,0,0
62,45,11,0,0
10,21,12,0,0
28,33,45,0,0
69,43,6,0,0
70,30,54,0,0
62,43,17,0,0
102,54,34,1,1
70,22,37,0,0
110,55,62,0,0
2,40,57,0,0
44,31,47,0,0
119,33,26,0,0
63,30,17,0,0
97,51,3,0,0
79,37,30,0,0
124,28,7,0,0
61,61,17,0,0
35,32,51,0,0
38,21,17,0,0
33,47,5,0,0
74,54,34,0,0
30,17,53,0,0
80,11,62,0,0
111,10,44,0,0
13,51,24,0,0
15,48,13,0,0
25,18,42,0,0
3,3,10,0,0
96,49,53,0,0
34,6,37,0,0
123,57,56,0,0
106,29,41,0,0
61,11,12,0,0
41,62,5,0,0
62,11,21,0,0
58,54,55,0,0
61,62,45,0,0
54,30,38,0,0
21,11,14,0,0
88,17,4,0,0
5,11,37,0,0
10,7,55,0,0
23,10,47,0,0
89,29,41,0,0
49,21,3,0,0
9,57,3,0,0
71,7,11,0,0
104,16,40,0,0
124,54,14,0,0
45,45,15,0,0
39,45,5,0,0
29,30,9,0,0
78,38,45,0,0
28,0,11,0,0
98,57,40,0,0
58,11,50,0,0
91,21,47,0,0
32,48,30,0,0
92,53,21,1,1
33,30,53,0,0
100,21,55,0,0
24,21,30,0,0
106,21,33,0,0
86,33,24,0,0
23,49,22,0,0
55,41,55,0,0
76,30,31,1,1
94,15,57,0,0
35,62,59,0,0
