cell,drug1_db,drug2_db,synergy,synergistic
83,6,36,0,0
54,6,43,0,0
34,27,43,0,0
30,30,60,1,1
2,54,22,0,0
119,21,62,0,0
118,40,50,0,0
21,0,55,0,0
110,27,31,0,0
22,62,6,0,0
83,6,58,0,0
45,57,20,0,0
80,27,56,0,0
40,49,20,1,1
120,57,40,0,0
3,27,4,0,0
48,29,23,0,0
53,30,36,0,0
114,20,13,0,0
117,42,59,0,0
74,5,20,0,0
105,2,48,0,0
40,49,60,1,1
4,6,54,0,0
27,46,23,0,0
20,5,23,0,0
4,22,62,0,0
48,11,2,0,0
122,28,49,0,0
65,0,45,0,0
63,9,48,0,0
22,36,32,0,0
47,40,3,0,0
79,62,4,0,0
90,57,30,0,0
48,4,8,0,0
31,6,2,1,1
40,9,42,0,0
44,8,15,0,0
106,4,14,0,0
79,42,20,0,0
79,57,53,0,0
21,22,42,1,1
5,4,2,0,0
28,62,0,0,0
84,2,46,0,0
82,50,56,0,0
56,46,8,0,0
1,20,10,0,0
24,20,17,0,0
82,27,3,0,0
115,15,16,0,0
24,19,56,0,0
40,5,21,0,0
2,20,24,0,0
34,60,34,0,0
55,21,40,0,0
3,54,57,1,1
60,8,58,0,0
24,49,33,0,0
20,9,49,0,0
51,60,5,0,0
64,48,11,0,0
112,30,16,0,0
120,61,20,0,0
23,29,39,0,0
48,4,35,0,0
63,60,16,0,0
45,37,23,0,0
0,23,9,0,0
52,51,47,0,0
1,19,48,1,1
112,6,46,0,0
111,49,32,0,0
79,27,40,0,0
111,29,37,0,0
77,29,15,0,0
22,30,4,0,0
109,61,8,0,0
69,42,48,0,0
18,62,10,0,0
11,48,26,0,0
75,16,52,0,0
39,49,15,1,1
44,15,27,0,0
110,61,17,0,0
36,21,8,0,0
119,19,0,0,0
60,20,59,0,0
86,22,49,0,0
60,27,59,0,0
88,57,50,0,0
113,23,42,0,0
41,42,18,0,0
76,8,49,0,0
67,21,22,0,0
55,62,25,0,0
41,18,49,0,0
116,36,12,0,0
30,16,43,0,0
16,15,11,0,0
116,49,16,0,0
73,48,26,0,0
22,0,24,0,0
61,15,8,0,0
52,15,14,0,0
61,27,46,0,0
55,53,14,0,0
111,27,48,0,0
92,35,3,0,0
41,6,13,0,0
88,35,8,0,0
72,21,2,0,0
49,29,8,0,0
28,0,59,0,0
35,19,25,0,0
42,18,49,0,0
36,35,57,0,0
1,36,61,0,0
69,8,21,0,0
20,30,9,0,0
10,30,27,0,0
2,30,11,0,0
104,61,62,0,0
104,22,24,0,0
102,62,24,0,0
116,61,22,0,0
82,53,39,0,0
3,53,57,0,0
87,51,49,1,1
76,19,61,0,0
107,8,60,0,0
43,54,48,0,0
85,48,8,0,0
109,19,14,0,0
85,37,43,0,0
22,62,27,0,0
79,57,2,1,1
104,6,55,0,0
68,16,33,0,0
105,47,28,0,0
10,37,21,0,0
51,60,18,0,0
21,19,58,0,0
38,27,35,0,0
97,14,17,0,0
26,57,42,0,0
60,19,8,0,0
7,35,57,0,0
42,54,29,0,0
25,62,35,0,0
103,16,6,0,0
69,29,0,0,0
0,6,5,0,0
112,48,11,0,0
113,2,47,0,0
62,8,26,0,0
123,22,50,0,0
103,11,28,0,0
21,35,13,0,0
31,17,2,0,0
102,22,40,0,0
98,57,45,0,0
110,27,29,0,0
10,21,30,1,1
94,51,2,0,0
75,57,47,0,0
5,52,2,0,0
40,21,60,0,0
29,29,11,0,0
105,35,42,0,0
0,51,49,1,1
123,53,31,0,0
69,57,3,1,1
3,0,30,0,0
94,49,48,0,0
24,27,32,0,0
15,47,23,0,0
104,0,14,0,0
109,50,13,0,0
55,61,59,0,0
51,5,26,0,0
4,22,7,0,0
36,0,59,0,0
93,4,29,0,0
7,6,53,0,0
79,0,22,0,0
112,47,2,0,0
117,8,42,0,0
30,20,42,0,0
103,29,22,0,0
33,10,49,0,0
118,50,57,0,0
38,17,15,0,0
119,20,58,0,0
12,30,55,0,0
110,50,27,0,0
69,62,18,0,0
108,15,46,0,0
53,22,16,0,0
79,20,56,0,0
96,16,49,0,0
50,18,58,0,0
11,21,20,0,0
102,30,40,0,0
76,6,51,0,0
28,30,7,1,1
72,36,39,0,0
19,29,17,0,0
22,40,58,0,0
36,19,41,0,0
67,18,30,0,0
119,36,44,1,1
47,50,2,0,0
10,6,19,0,0
75,52,6,0,0
43,22,35,0,0
11,29,9,0,0
89,35,29,0,0
111,29,49,0,0
105,48,16,0,0
84,30,15,0,0
58,40,27,0,0
24,19,53,0,0
2,62,30,0,0
96,35,34,0,0
57,9,18,0,0
27,46,30,0,0
25,30,59,0,0
56,8,47,0,0
55,49,22,0,0
66,62,18,0,0
36,53,2,0,0
109,19,30,0,0
91,4,42,0,0
41,50,37,0,0
53,36,51,0,0
26,57,48,0,0
42,42,21,0,0
74,23,27,0,0
108,46,42,1,1
44,22,42,0,0
69,62,56,0,0
67,0,44,0,0
116,49,4,0,0
45,8,21,0,0
42,61,57,0,0
18,6,37,0,0
94,4,6,0,0
34,10,34,0,0
102,18,20,0,0
117,29,48,0,0
66,16,12,0,0
18,0,4,0,0
123,42,30,0,0
65,53,44,0,0
116,35,40,0,0
1,6,61,0,0
71,10,26,0,0
32,46,52,0,0
120,0,29,0,0
25,48,44,0,0
4,16,36,0,0
98,54,21,0,0
82,57,19,0,0
24,36,20,0,0
48,16,35,0,0
24,29,6,0,0
10,8,43,0,0
31,48,42,0,0
11,48,27,0,0
118,57,62,0,0
124,10,30,0,0
55,21,27,0,0
122,48,6,0,0
79,54,20,0,0
20,57,35,0,0
22,61,33,0,0
64,42,51,0,0
121,22,47,0,0
23,16,57,0,0
25,48,6,1,1
68,62,42,0,0
80,6,11,0,0
14,53,44,0,0
124,28,27,0,0
50,42,17,0,0
59,5,57,0,0
26,17,6,0,0
10,42,8,0,0
112,8,48,0,0
37,35,34,1,1
43,16,30,0,0
12,54,4,1,1
26,29,11,0,0
116,40,29,0,0
47,40,6,0,0
66,40,25,0,0
2,19,11,0,0
106,22,23,0,0
58,54,56,0,0
70,23,9,0,0
63,35,28,0,0
74,16,20,0,0
82,27,62,0,0
1,8,1,0,0
102,48,45,0,0
113,48,2,0,0
65,35,1,0,0
28,0,33,0,0
123,16,32,0,0
118,6,59,0,0
33,35,19,0,0
9,49,61,0,0
97,49,52,0,0
68,18,62,0,0
66,62,7,0,0
83,53,51,0,0
80,57,33,0,0
94,46,51,0,0
67,62,18,0,0
79,54,29,0,0
119,48,18,1,1
60,30,4,0,0
97,49,46,0,0
102,6,18,0,0
117,49,8,0,0
112,42,11,0,0
98,27,29,0,0
28,53,4,0,0
87,47,2,0,0
59,49,37,0,0
35,50,42,0,0
72,49,1,0,0
58,30,10,0,0
109,0,4,0,0
22,48,62,0,0
91,47,14,0,0
103,14,49,1,1
16,16,27,0,0
54,57,8,0,0
102,57,49,0,0
14,6,7,0,0
41,8,2,0,0
71,18,34,0,0
60,53,19,0,0
63,18,49,1,1
63,26,42,0,0
74,6,9,0,0
5,27,8,0,0
12,8,49,0,0
18,53,27,0,0
72,6,4,0,0
75,15,46,0,0
27,22,16,0,0
12,30,58,0,0
21,48,10,0,0
16,49,46,0,0
119,48,6,1,1
120,40,6,0,0
122,29,23,0,0
75,48,46,0,0
40,34,28,0,0
12,22,12,0,0
15,28,22,0,0
119,49,44,0,0
122,18,26,0,0
22,53,16,0,0
40,60,49,0,0
18,19,16,0,0
10,18,51,0,0
55,53,61,0,0
26,52,23,0,0
23,54,2,0,0
29,46,11,0,0
41,48,56,0,0
109,54,0,0,0
120,29,48,1,1
88,8,27,0,0
12,27,57,1,1
101,49,2,0,0
76,61,49,0,0
101,14,4,0,0
1,0,57,0,0
73,16,28,0,0
88,49,38,1,1
61,29,57,0,0
50,62,8,0,0
108,8,14,0,0
117,0,37,0,0
5,4,47,0,0
51,34,10,0,0
12,53,62,0,0
39,27,30,0,0
99,20,23,0,0
68,42,20,0,0
62,42,48,0,0
87,47,27,0,0
0,48,5,0,0
63,16,8,1,1
110,29,57,0,0
92,50,58,0,0
107,48,10,0,0
33,30,19,0,0
99,6,51,0,0
21,42,22,0,0
57,20,57,0,0
114,62,51,1,1
9,61,11,0,0
38,2,46,0,0
0,10,29,0,0
41,54,4,0,0
4,54,17,1,1
102,49,12,0,0
55,6,48,1,1
69,8,6,0,0
14,29,10,0,0
110,22,10,0,0
104,0,53,0,0
73,49,10,0,0
94,16,6,0,0
55,48,61,0,0
105,29,8,0,0
50,36,48,0,0
104,42,49,1,1
104,49,58,0,0
3,29,56,0,0
45,37,5,0,0
103,46,35,0,0
108,6,27,0,0
88,62,33,0,0
60,36,29,0,0
92,35,10,0,0
113,27,4,0,0
108,28,2,0,0
55,6,62,1,1
21,8,24,0,0
1,30,14,0,0
115,6,57,0,0
27,42,8,0,0
112,8,35,0,0
14,8,48,0,0
10,60,6,0,0
118,40,38,0,0
97,4,14,0,0
51,9,60,0,0
96,43,28,0,0
118,16,22,0,0
77,30,27,0,0
22,61,49,0,0
111,20,31,0,0
109,61,53,0,0
123,36,7,0,0
55,62,14,0,0
104,48,55,0,0
56,48,46,0,0
56,4,8,0,0
88,30,11,0,0
62,8,51,0,0
83,50,57,0,0
64,49,52,0,0
4,27,49,0,0
110,8,10,0,0
116,27,18,0,0
61,8,52,0,0
50,42,41,0,0
18,29,35,0,0
12,21,1,0,0
11,51,5,1,1
18,27,0,0,0
10,21,23,1,1
0,26,8,0,0
72,48,10,0,0
44,47,48,0,0
29,57,42,1,1
58,50,12,0,0
48,49,27,0,0
93,49,48,0,0
82,61,8,0,0
70,42,37,0,0
119,8,36,0,0
31,51,29,0,0
78,29,30,0,0
53,27,14,0,0
51,42,21,1,1
104,49,24,0,0
38,15,48,0,0
82,48,62,0,0
53,40,32,0,0
56,8,35,0,0
118,30,18,0,0
49,14,48,0,0
35,36,32,0,0
0,23,16,0,0
92,50,61,0,0
98,61,49,0,0
100,37,57,0,0
41,40,29,0,0
118,29,54,0,0
100,51,26,0,0
82,49,25,0,0
66,57,12,0,0
1,30,12,0,0
25,0,57,0,0
