,cell_line_type,bacc,auprc,f1,kappa,num_pos,num_neg
0,0,0.5478902953586499,0.29095983654512747,0.16666666666666669,0.15526675786593713,10,237
1,1,0.7417355371900827,0.5592948717948718,0.4,0.3880597014925373,2,121
2,2,0.7420212765957447,0.631231310009834,0.5833333333333334,0.5577933450087565,14,188
3,3,0.7977973568281937,0.833030303030303,0.6666666666666665,0.66015625,5,227
4,4,0.6622807017543859,0.5751057459084095,0.42857142857142855,0.4126394052044611,9,228
5,5,0.5,0.17248086734693877,0.0,0.0,4,214
6,6,0.7968599033816426,0.8362541295547833,0.7096774193548387,0.6725034199726403,18,115
7,7,0.7414529914529915,0.4486534552845528,0.5,0.48290598290598286,4,117
8,8,0.6245711835334476,0.2612670115698436,0.3157894736842105,0.2861364196010835,11,212
9,9,0.5762578616352201,0.43946444881966573,0.25,0.21945701357466052,18,212
10,10,0.6364193746167994,0.518759489705004,0.4,0.3686826843413421,21,233
11,11,0.7454954954954955,0.6895153387383962,0.6363636363636364,0.6041171813143309,28,222
12,12,0.7893162393162393,0.4504390816155522,0.4615384615384615,0.44730756524611825,5,234
13,13,0.8301587301587301,0.6487108321195444,0.6363636363636365,0.6046511627906976,10,126
14,14,0.7021889400921659,0.3083081673215095,0.4615384615384615,0.43360098826436066,7,124
15,15,0.625,0.3972059788497592,0.4,0.3749999999999999,12,108
16,16,0.7495457298606905,0.6517348576511472,0.5599999999999999,0.5169385194479297,13,127
17,17,0.6537356321839081,0.4835775335775335,0.28571428571428575,0.2645241038318912,3,116
18,18,0.6,0.45606060606060606,0.33333333333333337,0.32288401253918486,5,103
19,19,0.6666666666666666,0.4708128078817734,0.5,0.49295774647887325,3,105
20,20,0.4954128440366973,0.10350254402531628,0.0,-0.014362657091562037,4,109
21,21,0.5976415094339622,0.4295823702922653,0.30769230769230765,0.29299363057324845,10,212
22,22,1.0,,0.0,,0,118
23,23,0.7123212321232123,0.7668449505406028,0.5333333333333333,0.5006485084306096,9,101
24,24,0.6794871794871795,0.5493424792513695,0.5,0.4117647058823529,24,104
25,25,0.6902081563296517,0.5285513032237348,0.5135135135135135,0.43544857768052514,44,214
26,26,0.6567656765676567,0.5170565302144249,0.3333333333333333,0.31353135313531355,3,101
27,27,0.8209876543209876,0.6513179359234076,0.5714285714285715,0.553191489361702,9,243
28,28,0.6666666666666666,0.49636719987329736,0.5,0.49356223175965663,6,230
29,29,0.5376344086021505,0.2832077197343535,0.13333333333333333,0.11703239289446188,12,248
