,cell_line_type,bacc,auprc,f1,kappa,num_pos,num_neg
0,0,0.6646174863387978,0.42643668729563616,0.46153846153846156,0.4494870997824061,9,244
1,1,0.8209366391184573,0.32032163742690056,0.5,0.4844074844074844,3,121
2,2,0.7010923535253227,0.4600665651171189,0.5161290322580646,0.4832214765100671,19,212
3,3,0.49557522123893805,0.07338155115216971,0.0,-0.010591350397175514,3,226
4,4,0.7714752567693745,0.504397536309078,0.5882352941176471,0.573612823674476,9,238
5,5,0.5791839557399724,0.1875770324683368,0.2222222222222222,0.20941929583904895,6,241
6,6,0.6864864864864866,0.6008046025485907,0.47058823529411764,0.431924882629108,10,111
7,7,0.7405660377358491,0.5252873563218391,0.4,0.38636363636363646,2,106
8,8,0.7355769230769231,0.3302923299427467,0.5,0.47115384615384615,12,208
9,9,0.5465869456900847,0.1570605331504782,0.14285714285714285,0.11842938568714378,9,223
10,10,0.6061165845648604,0.2720582664049037,0.31249999999999994,0.27089337175792505,21,232
11,11,0.6698564593301435,0.4688358642488001,0.4375,0.3966480446927375,19,209
12,12,0.6579710144927536,0.2975212984135942,0.375,0.3537047052460789,9,230
13,13,0.7402069475240207,0.6254317201226626,0.4799999999999999,0.4273504273504273,11,123
14,14,0.6273532668881505,0.34339492604244154,0.30769230769230765,0.27315914489311166,7,129
15,15,0.5544871794871795,0.1342735400776841,0.15384615384615383,0.10104011887072806,6,104
16,16,0.7294077603812117,0.5562408315251617,0.4827586206896552,0.41630636195182213,13,113
17,17,0.8551980198019802,0.7177430860403863,0.6666666666666665,0.6370699223085461,8,101
18,18,0.6821428571428572,0.2594903926482874,0.3636363636363636,0.33251833740831294,5,112
19,19,0.691304347826087,0.6068258484047958,0.4444444444444445,0.423076923076923,5,115
20,20,0.5,0.02631578947368421,0.0,0.0,1,115
21,21,0.7272727272727273,0.6928083831967016,0.625,0.6140350877192983,11,231
22,22,0.7401960784313726,0.5151020408163265,0.4,0.3858267716535434,2,102
23,23,0.625,0.4827283466447553,0.33333333333333326,0.27472527472527475,10,100
24,24,0.7830791933103787,0.7448408783443456,0.631578947368421,0.5661583866207576,19,107
