,cell_line_type,bacc,auprc,f1,kappa,num_pos,num_neg
0,0,0.625,0.3574263837332671,0.4,0.39618138424821003,4,249
1,1,0.6666666666666666,0.6294944090996722,0.5,0.4897959183673469,6,144
2,2,0.6888648435963014,0.6263415281759903,0.5142857142857143,0.48072108162243365,23,221
3,3,0.9933035714285714,1.0,0.4,0.3957027752909579,1,224
4,4,0.5,0.05555555555555555,0.0,0.0,1,251
5,5,0.49588477366255146,0.07142857142857142,0.0,-0.005494505494505475,1,243
6,6,0.6160714285714286,0.33201593137254903,0.28571428571428575,0.2639593908629442,4,112
7,7,0.582505729564553,0.37981510809640506,0.26666666666666666,0.23200859291084852,11,119
8,8,0.6409706173654672,0.2923516819945806,0.34782608695652173,0.3164134864764727,13,233
9,9,0.7369565217391305,0.5070474824522092,0.5555555555555556,0.5215311004784688,20,230
10,10,0.7151132174828857,0.6157005486649737,0.5517241379310345,0.5232986389111289,18,211
11,11,0.7534391534391534,0.5210106325435983,0.5714285714285715,0.5400225479143179,15,189
12,12,0.6408328513591671,0.41385930366841694,0.4,0.38991192954363496,7,247
13,13,0.7336065573770492,0.6046834236760037,0.5454545454545454,0.5051698670605613,12,122
14,14,0.5454954954954955,0.32722612773557436,0.16666666666666669,0.14305949008498575,10,111
15,15,0.5690721649484536,0.2742065164226672,0.22222222222222224,0.1517553793884484,10,97
16,16,0.821236559139785,0.8223296477132794,0.6956521739130435,0.6675977653631284,12,124
17,17,0.7142857142857143,0.5875952916131487,0.6,0.5834970530451866,7,99
18,18,0.5666208791208791,0.23900951919405775,0.22222222222222224,0.19979402677651914,7,104
19,19,0.5,0.08363095238095238,0.0,0.0,2,114
20,20,0.4954128440366973,0.11737837414787543,0.0,-0.014362657091562037,4,109
21,21,0.6428571428571428,0.5888650798314664,0.4444444444444445,0.4370229007633587,7,229
22,22,0.5,0.07142857142857142,0.0,0.0,1,97
23,23,0.6566666666666666,0.45934856983729155,0.4,0.37154150197628455,6,100
24,24,0.7565217391304347,0.6268118716368212,0.6190476190476191,0.5514018691588785,23,115
25,25,0.6266102551149281,0.33633683937602343,0.3661971830985916,0.26200588043123163,37,214
26,26,0.7694099378881987,0.6721696953839811,0.5714285714285714,0.5388198757763976,7,92
27,27,0.7658779576587795,0.6053042790542791,0.6,0.5820081781008632,11,219
28,28,0.6204545454545455,0.09127307829676183,0.28571428571428575,0.27461139896373066,4,220
