,cell_line_type,bacc,auprc,f1,kappa,num_pos,num_neg
0,0,0.6088888888888888,0.294026973785247,0.3333333333333333,0.3202614379084968,9,225
1,1,0.9910714285714286,0.7083333333333333,0.6666666666666666,0.6586826347305389,2,112
2,2,0.7351694915254237,0.38947155141326784,0.48000000000000004,0.4524456521739131,12,236
3,3,0.7479338842975207,0.7068710478771454,0.6,0.5921052631578947,6,242
4,4,0.7319004524886878,0.09781632806396957,0.28571428571428575,0.2671009771986972,4,221
5,5,0.6647509578544061,0.4013365175129881,0.4,0.39449541284403666,3,261
6,6,0.73046875,0.5971020094040063,0.5517241379310345,0.5021276595744681,16,128
7,7,0.4855072463768116,0.15083527583527584,0.0,-0.034482758620689724,3,69
8,8,0.7894957983193277,0.6048860007850896,0.6206896551724138,0.5976579441954605,15,238
9,9,0.6028165503489531,0.251558545186358,0.2857142857142857,0.24590163934426224,17,236
10,10,0.6592885375494071,0.3503899585591183,0.37499999999999994,0.3066387673578086,23,220
11,11,0.8217684377478192,0.8188206873566788,0.7555555555555555,0.7284560143626571,26,194
12,12,0.7432432432432432,0.7149305555555556,0.4444444444444445,0.4332998996990973,4,222
13,13,0.6542952460383653,0.549084204565488,0.380952380952381,0.32173913043478264,11,109
14,14,0.6046176046176046,0.34476178071158725,0.2727272727272727,0.20923520923520922,11,126
15,15,0.7680851063829788,0.5955917178699437,0.42857142857142855,0.38888888888888884,5,94
16,16,0.8067846607669616,0.6058020588046472,0.5714285714285715,0.5319693094629157,9,113
17,17,0.7051948051948052,0.39744967193155517,0.5,0.4737631184407797,7,110
18,18,0.712962962962963,0.5545545213622807,0.4,0.3458646616541353,8,108
19,19,0.6666666666666666,0.4172731984328665,0.5,0.48672566371681414,6,110
20,20,0.9903846153846154,0.25,0.5,0.4927536231884059,1,104
21,21,0.6308571428571428,0.17530321155941056,0.26666666666666666,0.24472348383649478,7,250
22,22,0.4956140350877193,0.05,0.0,-0.00877192982456143,1,114
23,23,0.7495791245791246,0.5998349717158495,0.5454545454545454,0.49915824915824913,11,108
24,24,0.7056878306878307,0.6172158042013014,0.5263157894736842,0.4455587392550143,21,108
25,25,0.7197802197802198,0.5868865082378864,0.5357142857142857,0.46547711404189296,30,182
26,26,0.65625,0.4066807184750733,0.3333333333333333,0.3125,3,96
