,cell_line_type,bacc,auprc,f1,kappa,num_pos,num_neg
0,0,0.6595238095238095,0.35742926055426055,0.28571428571428575,0.2740286298568507,3,210
1,1,0.6629901960784313,0.2358465608465608,0.4,0.3894582723279648,3,136
2,2,0.6735849056603773,0.3008132006135555,0.2857142857142857,0.25068119891008167,10,265
3,3,0.65,0.7168331668331668,0.4615384615384615,0.45203060623896407,10,256
4,4,0.7871794871794872,0.5425922761449078,0.42857142857142855,0.41277641277641275,5,234
5,5,0.625,0.325838658675346,0.4,0.39574090505767523,4,223
6,6,0.9044077134986226,0.48771520485400777,0.7428571428571429,0.7057692307692307,15,121
7,7,0.4956140350877193,0.17438527610560955,0.0,-0.01467505241090139,7,114
8,8,0.6777777777777778,0.4214206537436414,0.42424242424242425,0.38525206922498123,18,240
9,9,0.65284178187404,0.35667952710803086,0.4,0.3608340888485947,18,217
10,10,0.656832298136646,0.17959571010431968,0.35714285714285715,0.3136645962732919,14,207
11,11,0.6837180286961946,0.44375570437185125,0.4090909090909091,0.35220251146103254,21,229
12,12,0.6796536796536796,0.4398253690080209,0.5000000000000001,0.48538011695906436,11,231
13,13,0.7466403162055335,0.6369475588763708,0.5217391304347826,0.4738041002277904,11,115
14,14,0.6131961259079903,0.41760757131127396,0.25,0.1995731056563501,7,118
15,15,0.7177489177489177,0.6125778290819978,0.5555555555555556,0.5201654601861427,11,105
16,16,0.881578947368421,0.6746831204800587,0.6666666666666667,0.6236559139784945,12,114
17,17,0.9114035087719299,0.899074074074074,0.8333333333333334,0.8228070175438597,6,95
18,18,0.6615120274914089,0.711111111111111,0.4,0.38524590163934425,3,97
19,19,0.7333333333333334,0.5137205387205387,0.3333333333333333,0.31343283582089554,2,90
20,20,0.49038461538461536,0.045454545454545456,0.0,-0.012861736334405016,1,104
21,21,0.6343825665859564,0.302284263581363,0.30769230769230765,0.2887804878048781,7,236
22,22,0.625,0.5104637210615471,0.4,0.39168110918544197,4,113
23,23,0.7293814432989691,0.5718753713606655,0.5263157894736842,0.4803022126281705,10,97
24,24,0.78363412633306,0.7139295639385561,0.6382978723404256,0.557773744706594,23,106
25,25,0.6467236467236468,0.33568259588749677,0.3773584905660377,0.29825355171477697,27,208
26,26,0.6919642857142857,0.19868559682992903,0.39999999999999997,0.35983263598326354,7,112
27,27,0.8104859335038364,0.7594402496341852,0.6470588235294118,0.6209718670076727,17,230
28,28,0.707820197044335,0.4533331514423951,0.4615384615384615,0.4465762487595104,7,232
29,29,0.6395461129888942,0.321706454778562,0.36363636363636365,0.31719028673343397,19,218
30,30,0.4854368932038835,0.08640351555407624,0.0,-0.03597122302158273,5,103
31,31,0.9873417721518988,,0.0,0.0,0,237
32,32,0.6642857142857143,0.3703608186447299,0.3846153846153846,0.3522975929978118,14,245
33,33,1.0,1.0,1.0,1.0,1,233
34,34,0.6601449275362319,0.20872319688109162,0.28571428571428575,0.2750466708151835,3,230
35,35,0.6292207792207792,0.3843482966309053,0.26666666666666666,0.24172487093835404,7,220
36,36,0.5926470588235294,0.3192322653148332,0.28571428571428575,0.2566191446028513,15,204
37,37,0.6772519717725197,0.4256172074012926,0.4705882352941177,0.45209105346744316,11,219
38,38,0.6446316390633924,0.5382547192733906,0.4347826086956522,0.4113705583756345,17,206
39,39,0.6379518072289156,0.3464131619677938,0.3157894736842105,0.2898122758911622,10,249
40,40,0.5938271604938271,0.2733879169337855,0.22222222222222224,0.20802919708029188,5,243
41,41,0.7340909090909091,0.3694502173215941,0.37499999999999994,0.35354691075514877,6,220
42,42,1.0,,0.0,,0,47
43,43,0.6634460547504026,0.4922145339615544,0.425531914893617,0.3691244658605328,27,230
44,44,0.6319388576025744,0.3576942789513881,0.37499999999999994,0.356328082563824,11,226
45,45,0.62,0.5221282214551067,0.375,0.3396226415094339,12,100
46,46,0.895440251572327,0.6131984280569186,0.5,0.4799618320610687,6,212
47,47,0.6837240013205679,0.4453491465582904,0.4545454545454546,0.4298957126303592,13,233
48,48,0.8161943319838056,0.6784651968340132,0.5555555555555555,0.4747720364741641,13,95
49,49,0.6872571872571873,0.7401863535015709,0.5263157894736842,0.488843813387424,13,99
50,50,0.7049833887043189,0.3140802596698503,0.42857142857142855,0.40996677740863785,7,215
51,51,0.7589098532494759,0.6708542452420514,0.5555555555555556,0.5178197064989518,9,106
52,52,0.7692307692307692,0.7092929711947049,0.7000000000000001,0.6739752144899904,13,101
53,53,0.9946236559139785,0.25,0.6666666666666666,0.6618705035971223,1,93
54,54,0.49489795918367346,0.03583451514777819,0.0,-0.015075376884422065,3,98
55,55,0.5863242574257426,0.4121210791772444,0.2727272727272727,0.2423979148566464,16,202
56,56,0.6563573883161512,0.5086282419313272,0.4,0.37067209775967414,6,97
57,57,0.7421875,0.5982142857142857,0.4,0.3887147335423198,2,128
58,58,0.7789855072463767,0.6964769950903688,0.64,0.5413005272407733,24,92
59,59,0.7828171091445428,0.4902366071132963,0.6086956521739131,0.5888675623800383,12,226
60,60,0.49,0.10616883116883118,0.0,-0.020000000000000018,2,100
61,61,0.8671259842519685,0.6887204195702672,0.75,0.734251968503937,8,127
62,62,0.7903761061946903,0.5472348484848485,0.5555555555555556,0.5203171456888008,8,113
63,63,0.658974358974359,0.545217321378312,0.4,0.3780487804878049,6,130
64,64,0.8072139303482586,0.6000649353863735,0.5454545454545455,0.5089285714285714,9,134
65,65,0.6529051987767585,0.2595261372537534,0.3636363636363636,0.3319502074688796,6,109
66,66,0.7691570881226053,0.6007733279652285,0.6250000000000001,0.5997865528281751,9,116
67,67,0.759018759018759,0.6463013178049262,0.5909090909090909,0.4993045897079277,21,99
68,68,0.803490990990991,0.668133505449682,0.6666666666666666,0.6443514644351465,8,111
69,69,0.5,0.10775678431928432,0.0,0.0,4,92
70,70,0.5577380952380953,0.2828705924315938,0.18181818181818182,0.16510638297872338,8,210
71,71,0.5811594202898551,0.32105455468383365,0.25,0.24034334763948495,6,230
72,72,0.9209656084656085,0.7601582937938595,0.78125,0.7488235294117647,28,216
73,73,0.6645833333333333,0.16081788617348314,0.2727272727272727,0.24159021406727832,8,240
74,74,0.4945652173913043,0.3138888888888889,0.0,-0.01300108342361872,3,184
75,75,0.6244837758112094,0.37711123864233637,0.3478260869565218,0.3183103903450877,15,226
76,76,0.6436708860759494,0.33495577509857255,0.37499999999999994,0.355427974947808,10,237
77,77,0.5,0.042553131482351084,0.0,0.0,3,234
78,78,0.6355755894590847,0.3640277142919197,0.38095238095238093,0.3535262206148282,14,206
79,79,0.7311715481171548,0.3946483686998392,0.41666666666666663,0.3879915730337079,10,239
80,80,0.49528301886792453,0.09326259489302968,0.0,-0.013953488372093092,3,106
81,81,0.7099290780141845,0.3684407413789018,0.42424242424242425,0.38391699092088205,15,235
82,82,0.6498881431767338,0.38751250268286996,0.35294117647058826,0.3162863886703383,9,149
83,83,0.5441919191919192,0.20524517292706146,0.13333333333333333,0.10519987977156597,9,220
