,cell_line_type,bacc,auprc,f1,kappa,num_pos,num_neg
0,0,0.6029143897996356,0.2990809408564166,0.26666666666666666,0.24518578790344459,9,244
1,1,0.6584022038567493,0.30178571428571427,0.3333333333333333,0.3168044077134986,3,121
2,2,0.7753227408143,0.6821373487503304,0.6111111111111113,0.5783572359843546,19,212
3,3,0.8333333333333333,0.6849436392914654,0.8,0.7978817299205649,3,226
4,4,0.7201213818860878,0.538664823809027,0.5714285714285714,0.5599762470308789,9,238
5,5,0.495850622406639,0.14010761971603708,0.0,-0.012295081967213184,6,241
6,6,0.7319819819819819,0.631406208170914,0.5263157894736842,0.48607833883907503,10,111
7,7,0.7405660377358491,0.0994064138143694,0.4,0.38636363636363646,2,106
8,8,0.6963141025641025,0.4100268502406075,0.45454545454545453,0.4260869565217391,12,208
9,9,0.5976581963129048,0.1976053315799754,0.23529411764705882,0.20631578947368423,9,223
10,10,0.5823070607553367,0.3748183891899851,0.25806451612903225,0.21608514077866092,21,232
11,11,0.5933014354066986,0.3145787236510253,0.2857142857142857,0.24528301886792447,19,209
12,12,0.6045893719806763,0.33884177498008583,0.2857142857142857,0.265970515970516,9,230
13,13,0.7110125646711013,0.7509916776628007,0.5,0.4601128122481869,11,123
14,14,0.5598006644518272,0.24424218525928176,0.18181818181818182,0.15000000000000002,7,129
15,15,0.7259615384615384,0.44367212656907573,0.42857142857142855,0.3905817174515235,6,104
16,16,0.7042205582028591,0.5862491544693393,0.48000000000000004,0.42283298097251587,13,113
17,17,0.682549504950495,0.6656882175150001,0.5,0.47427652733118975,8,101
18,18,0.49107142857142855,0.2583991008991009,0.0,-0.025031289111389077,5,112
19,19,0.6956521739130435,0.6274817674817674,0.5,0.4838709677419355,5,115
20,20,0.5,0.03125,0.0,0.0,1,115
21,21,0.7251082251082251,0.6088996201304527,0.5882352941176471,0.574585635359116,11,231
22,22,0.7352941176470589,0.5229640151515151,0.3333333333333333,0.3157894736842105,2,102
23,23,0.74,0.7081324181643875,0.588235294117647,0.5549132947976878,10,100
24,24,0.7520905066404329,0.6682015234511115,0.5789473684210527,0.5041810132808657,19,107
25,25,0.7000534188034189,0.5244132497422349,0.4999999999999999,0.4193729003359462,36,208
26,26,0.6428571428571428,0.6401425524096331,0.4444444444444445,0.43092962641181576,7,124
27,27,0.8265460030165912,0.7078200938495056,0.6153846153846153,0.6041158004883154,6,221
28,28,0.6342734518700184,0.3440223773175718,0.30769230769230765,0.2885375494071146,7,233
29,29,0.6573208722741433,0.5217285283782457,0.4166666666666667,0.3865288939915805,15,214
30,30,0.6782407407407407,0.5439196220446221,0.4615384615384615,0.43137254901960786,8,108
31,31,0.49764150943396224,0.15561240845399615,0.0,-0.007739938080495445,5,212
32,32,0.6130382775119617,0.3223149744674344,0.26666666666666666,0.24053452115812923,8,209
33,33,0.4979253112033195,0.09757498790517657,0.0,-0.0055172413793103114,2,241
34,34,0.6408571428571428,0.6066143962472202,0.4210526315789473,0.4044298605414274,14,250
35,35,0.7413793103448276,0.5360501342718677,0.5,0.48275862068965514,8,232
36,36,0.5997171145685997,0.4540747366808673,0.3,0.2716763005780346,14,202
37,37,0.6066863323500491,0.47816770328065505,0.30769230769230765,0.2909822326516929,9,226
38,38,0.7428909952606635,0.4421160156670382,0.5555555555555556,0.536930330015715,10,211
39,39,0.7429577464788732,0.5074770078725774,0.5333333333333333,0.517015298157977,8,213
40,40,0.5535714285714286,0.2344630494268825,0.15384615384615385,0.13079019073569476,8,224
41,41,0.6227973568281938,0.4325874677762801,0.375,0.3589055793991417,12,227
42,42,0.49074074074074076,0.13392857142857142,0.0,-0.024390243902439046,2,54
43,43,0.6285005317263381,0.33751034258241586,0.28571428571428575,0.23966942148760328,13,217
44,44,0.5896694214876033,0.14596539170068581,0.1818181818181818,0.1633421151674821,5,242
45,45,0.6120917917034422,0.4337799461304246,0.3157894736842105,0.2552763819095477,11,103
46,46,0.6091579861111112,0.322085485668485,0.3333333333333333,0.32181701855406264,9,256
47,47,0.7928909952606635,0.5980244958293739,0.5454545454545454,0.5336787564766838,5,211
48,48,0.6491596638655462,0.35889316409506816,0.4,0.3287037037037037,14,102
49,49,0.621580547112462,0.48883374561945986,0.30769230769230765,0.26037428803905605,7,94
50,50,0.887012987012987,0.8392078814904902,0.7272727272727272,0.7078384798099763,15,231
51,51,0.7417355371900827,0.7215076826557485,0.6153846153846154,0.5774213448488588,16,121
52,52,0.6636500754147813,0.620727562319264,0.46153846153846156,0.4096916299559471,17,117
53,53,1.0,1.0,1.0,1.0,4,112
54,54,0.6513605442176871,0.20721523410202655,0.28571428571428575,0.260614934114202,3,98
55,55,0.5755582137161085,0.2439977000204413,0.19999999999999998,0.16542994325622007,11,228
56,56,0.4961832061068702,0.12269464195934784,0.0,-0.012406947890818865,5,131
57,57,0.6722328244274809,0.2713353086616012,0.39999999999999997,0.36594019260010135,8,131
58,58,0.806878306878307,0.804351470731782,0.7037037037037038,0.6304347826086957,28,108
59,59,0.7478354978354979,0.7270520458598935,0.625,0.6129550321199144,10,231
60,60,0.7906542056074766,0.393095238095238,0.6,0.5813084112149534,5,107
61,61,0.5625,0.45995431349133176,0.2222222222222222,0.21109123434704835,8,118
62,62,0.8886198547215496,0.93949873655756,0.8461538461538461,0.8294573643410853,14,118
63,63,0.6627296587926509,0.3492063492063492,0.4,0.3887147335423198,3,127
64,64,0.7891304347826087,0.3587393162393162,0.5454545454545454,0.527428949107733,5,138
65,65,0.49019607843137253,0.17887124232785268,0.0,-0.02580645161290329,4,102
66,66,0.7168458781362007,0.8488646384479718,0.5714285714285714,0.5426008968609866,9,93
67,67,0.787037037037037,0.7134216966830595,0.6875000000000001,0.6283783783783784,18,81
68,68,0.75,0.6446608946608946,0.6666666666666666,0.654320987654321,6,106
69,69,0.5,0.005813953488372093,0.0,0.0,1,110
70,70,0.620475113122172,0.3619954896391976,0.37037037037037035,0.34205877629677206,20,221
71,71,0.5833333333333334,0.25039463448457977,0.2857142857142857,0.2805320435308344,6,232
72,72,0.7983765383608274,0.5823347287913261,0.631578947368421,0.5967530767216549,19,201
73,73,0.6520833333333333,0.49779298433374664,0.34782608695652173,0.3167028199566161,12,240
74,74,0.49162011173184356,0.16225097410759176,0.0,-0.019093078758949833,4,179
75,75,0.6954954954954955,0.6470933966352791,0.5217391304347827,0.49971214738054115,15,222
76,76,0.5952380952380952,0.2744072613591168,0.25,0.23668639053254437,5,210
77,77,0.5,0.5199146514935988,0.0,0.0,2,269
78,78,0.6892703862660945,0.19598595848595848,0.3333333333333333,0.31658291457286425,5,233
79,79,0.4955555555555556,0.15119396300813367,0.0,-0.01359223300970891,7,225
80,80,0.4954545454545455,0.038461538461538464,0.0,-0.009090909090909038,1,110
81,81,0.7135740971357409,0.5436462586178558,0.45454545454545453,0.4271481942714819,11,219
82,82,0.875,0.9396983225108225,0.8571428571428571,0.847360912981455,8,99
83,83,0.4979508196721312,0.11511134657796175,0.0,-0.007021063189568633,7,244
84,84,0.6390403489640131,0.5112794943152086,0.4,0.3811659192825112,7,131
85,85,0.8282312925170068,0.5417608286252353,0.6666666666666666,0.6564625850340136,3,98
86,86,0.49514563106796117,0.1748305750007202,0.0,-0.015180265654648917,4,103
87,87,0.5883720930232558,0.19647186147186146,0.22222222222222224,0.19554030874785588,5,129
88,88,0.6394389438943894,0.31176787546894036,0.34285714285714286,0.286117381489842,18,202
89,89,0.5756944444444444,0.38154463183874954,0.15384615384615385,0.11739364566505117,5,144
90,90,0.711352657004831,0.36789781893073203,0.5,0.4716981132075472,9,138
91,91,0.7385496183206106,0.7882113174523889,0.5714285714285715,0.5382131324004306,12,131
92,92,0.7327586206896552,0.3208511801017924,0.5,0.4655172413793103,8,116
93,93,0.5639658848614072,0.335734767877625,0.2,0.17543859649122817,7,134
94,94,0.7814769975786925,0.6495464852607709,0.6666666666666666,0.6503496503496503,7,118
95,95,0.483739837398374,0.05493951612903226,0.0,-0.021798365122615904,2,123
96,96,0.5740740740740741,0.47865867924657435,0.2857142857142857,0.17910447761194037,18,81
97,97,0.6277429467084639,0.5126539063454986,0.37499999999999994,0.3392299687825183,11,116
98,98,0.590990990990991,0.12921599905470874,0.25,0.22494432071269488,5,111
99,99,0.625,0.46816072713221213,0.4,0.38150289017341044,8,99
100,100,0.4891304347826087,0.21666666666666667,0.0,-0.021739130434782705,2,92
101,101,0.5,0.0925179211469534,0.0,0.0,3,107
102,102,0.5930930930930931,0.2767461230841872,0.26666666666666666,0.2198581560283689,9,111
103,103,0.561624649859944,0.289725922048717,0.2,0.16793893129770987,7,102
104,104,0.49145299145299143,0.17164174587621864,0.0,-0.023980815347721673,5,117
105,105,0.6618122977346278,0.514766081871345,0.4,0.386100386100386,3,103
106,106,0.5,0.6378968253968254,0.0,0.0,3,119
107,107,0.5,0.16666666666666666,0.0,0.0,1,110
108,108,0.75,0.6333333333333333,0.6666666666666666,0.6627218934911243,2,112
109,109,0.7492753623188406,0.6127273348854715,0.5925925925925926,0.5460317460317461,15,115
110,110,0.7013888888888888,0.5186110819005556,0.47058823529411764,0.42413162705667284,9,96
111,111,0.6281512605042017,0.24521941628943594,0.3333333333333333,0.2956381260096931,7,102
112,112,0.6491291727140784,0.4608206081064977,0.4444444444444444,0.4085487077534792,13,106
113,113,0.7356115107913669,0.43562276923080634,0.5,0.4712230215827339,8,139
114,114,0.6619496855345912,0.4021451340098881,0.4444444444444444,0.4238683127572017,6,106
115,115,0.6101485148514851,0.25928088115588116,0.25,0.22029702970297027,4,101
116,116,0.7398989898989898,0.6227058296436854,0.5714285714285715,0.5420827389443652,8,99
117,117,0.6096938775510203,0.072173434868904,0.25,0.2193877551020409,4,98
118,118,0.625,0.3454256666382083,0.4,0.39583333333333337,4,228
119,119,0.75,0.7326743881942239,0.6666666666666666,0.640625,10,82
120,120,0.7142857142857143,0.6235251197637216,0.6,0.5849731663685152,7,109
121,121,0.5811051693404634,0.415510897242374,0.23529411764705885,0.20664206642066418,11,204
122,122,0.6463414634146342,0.39867978025872763,0.2222222222222222,0.19672131147540972,3,123
123,123,0.6602564102564102,0.12815023670286826,0.28571428571428575,0.27522935779816515,3,234
124,124,0.6622023809523809,0.3828106677399883,0.4,0.3872113676731793,6,224
