cell,drug1_db,drug2_db,synergy,synergistic
12,1,55,0,0
108,1,47,0,0
42,62,18,0,0
114,34,6,0,0
91,50,52,0,0
12,58,7,0,0
30,58,23,0,0
94,49,11,0,0
67,6,43,0,0
74,50,39,0,0
84,24,46,0,0
100,3,21,0,0
60,9,30,0,0
39,7,29,0,0
70,1,5,0,0
79,3,9,1,1
119,31,0,0,0
119,56,52,0,0
21,43,9,0,0
32,36,3,0,0
11,56,50,0,0
52,62,55,0,0
119,34,0,0,0
60,9,56,0,0
85,36,21,0,0
109,16,9,0,0
81,6,11,0,0
94,17,62,0,0
19,10,39,0,0
22,21,45,0,0
6,39,8,0,0
8,7,24,0,0
36,27,31,0,0
119,47,40,0,0
120,52,38,0,0
109,62,18,0,0
62,7,31,0,0
40,19,7,0,0
71,31,11,0,0
32,25,62,0,0
103,38,21,1,1
19,54,29,0,0
21,29,2,0,0
44,48,42,0,0
16,16,36,0,0
103,45,3,0,0
93,10,12,1,1
9,21,3,0,0
51,38,11,0,0
109,30,18,0,0
85,30,31,0,0
116,55,59,0,0
43,24,10,0,0
44,55,11,0,0
111,7,41,0,0
46,7,3,0,0
96,58,7,0,0
19,17,1,0,0
80,31,18,0,0
21,9,26,0,0
30,30,47,0,0
101,3,19,0,0
43,17,9,0,0
75,50,29,0,0
87,11,56,0,0
59,54,43,0,0
50,62,53,0,0
36,19,11,0,0
46,61,29,0,0
11,10,7,0,0
93,20,30,0,0
110,40,5,0,0
122,56,53,0,0
108,9,42,0,0
84,48,55,0,0
39,48,35,0,0
8,30,60,0,0
18,14,7,0,0
28,40,23,0,0
76,1,9,0,0
12,7,29,0,0
70,34,47,0,0
112,11,29,0,0
114,45,30,0,0
41,30,32,0,0
75,11,1,0,0
119,10,22,0,0
33,31,43,0,0
71,53,62,1,1
87,52,34,0,0
43,47,13,0,0
20,47,42,0,0
87,48,50,0,0
14,31,9,0,0
104,30,56,0,0
13,56,17,0,0
112,11,8,0,0
19,17,48,0,0
10,3,19,0,0
14,16,61,0,0
1,6,62,0,0
64,14,44,0,0
95,53,36,0,0
79,52,7,0,0
110,62,23,0,0
30,1,20,0,0
35,50,24,0,0
34,56,20,0,0
54,9,19,0,0
70,50,10,0,0
93,30,18,0,0
44,43,15,0,0
30,24,2,0,0
65,43,40,0,0
60,3,19,0,0
26,45,44,0,0
44,40,29,0,0
20,34,42,0,0
81,18,27,0,0
43,43,62,0,0
92,1,9,0,0
26,30,3,0,0
123,7,6,0,0
79,34,57,0,0
30,48,1,0,0
60,56,36,0,0
95,39,19,0,0
58,25,36,0,0
43,40,51,0,0
43,7,28,0,0
31,48,3,0,0
108,3,52,0,0
74,41,39,1,1
47,62,60,0,0
31,47,46,0,0
107,30,24,0,0
28,54,27,0,0
54,61,48,0,0
33,31,9,0,0
74,61,21,0,0
84,1,9,0,0
120,31,19,0,0
55,49,3,1,1
1,41,7,0,0
64,31,11,0,0
47,47,11,0,0
14,21,31,0,0
44,50,58,0,0
35,40,58,0,0
55,45,29,0,0
91,3,10,0,0
98,33,8,0,0
90,7,54,0,0
79,20,29,0,0
8,40,39,0,0
108,11,16,0,0
19,31,14,0,0
96,62,31,0,0
40,18,56,0,0
45,45,32,0,0
83,21,29,0,0
35,40,60,0,0
107,62,28,0,0
120,43,52,0,0
114,48,30,1,1
22,45,8,0,0
39,31,60,0,0
122,16,61,0,0
111,6,21,0,0
112,10,33,0,0
51,17,43,0,0
112,32,38,0,0
104,6,61,0,0
30,62,30,0,0
94,62,56,0,0
18,14,33,0,0
22,56,32,1,1
46,54,9,1,1
43,24,37,1,1
120,50,5,0,0
93,56,43,0,0
22,14,56,0,0
123,54,53,0,0
14,18,41,0,0
20,29,18,0,0
109,21,62,0,0
37,48,27,0,0
74,50,19,0,0
8,3,28,0,0
47,9,1,0,0
92,10,14,0,0
101,3,12,0,0
1,56,61,0,0
99,11,47,0,0
70,7,58,0,0
96,30,26,0,0
50,50,27,0,0
75,11,40,0,0
14,50,36,0,0
50,48,7,0,0
12,52,38,0,0
86,56,21,0,0
84,31,50,0,0
10,29,9,0,0
98,21,31,0,0
60,16,31,0,0
23,43,7,0,0
1,36,29,1,1
31,24,60,0,0
44,47,2,0,0
59,7,43,0,0
124,7,62,0,0
124,41,29,0,0
96,34,1,0,0
33,52,46,0,0
20,50,57,0,0
119,62,26,0,0
28,58,20,0,0
103,50,62,0,0
19,20,0,0,0
39,7,42,0,0
22,62,39,0,0
30,58,62,0,0
110,10,53,0,0
96,11,42,0,0
47,47,43,0,0
76,17,56,0,0
39,31,59,0,0
49,54,36,0,0
33,58,1,0,0
84,10,60,0,0
107,3,31,0,0
59,9,48,0,0
91,9,35,1,1
19,40,20,0,0
116,52,15,0,0
75,56,23,0,0
22,33,43,0,0
79,31,43,0,0
116,24,9,0,0
85,11,25,0,0
114,54,29,0,0
34,43,48,0,0
114,34,17,0,0
100,10,7,0,0
20,34,4,0,0
86,29,62,0,0
94,32,29,0,0
33,11,10,1,1
70,17,34,0,0
107,50,46,0,0
34,54,3,0,0
92,58,24,0,0
59,56,46,0,0
70,24,37,0,0
14,39,30,0,0
17,17,27,0,0
91,24,4,0,0
75,48,27,0,0
111,30,56,0,0
76,11,26,0,0
123,18,3,0,0
23,29,7,0,0
62,53,30,0,0
53,11,52,0,0
34,11,50,1,1
30,31,27,1,1
