cell,drug1_db,drug2_db,synergy,synergistic
75,12,34,0,0
19,49,5,0,0
29,23,45,0,0
99,56,54,0,0
53,15,36,0,0
52,51,17,0,0
75,61,2,0,0
60,38,22,0,0
0,2,16,0,0
102,16,46,0,0
6,2,28,0,0
85,12,14,0,0
70,38,58,1,1
123,25,54,0,0
5,9,37,0,0
62,9,58,0,0
102,18,32,0,0
89,49,34,0,0
123,23,28,0,0
86,58,25,0,0
13,44,58,0,0
27,36,58,0,0
77,45,46,0,0
102,49,48,0,0
24,18,21,0,0
16,21,7,0,0
122,62,15,0,0
90,54,50,0,0
124,54,38,0,0
27,49,5,0,0
37,2,15,0,0
18,35,2,0,0
9,18,32,0,0
74,50,22,1,1
24,33,16,0,0
62,16,1,0,0
63,36,57,0,0
74,19,38,0,0
17,18,11,1,1
55,22,38,0,0
110,50,46,0,0
27,6,5,0,0
72,6,15,0,0
7,34,10,0,0
26,55,18,0,0
124,34,49,0,0
50,2,47,0,0
116,2,38,0,0
3,61,2,0,0
51,15,5,0,0
48,15,7,0,0
62,58,0,0,0
61,15,35,0,0
9,34,25,0,0
124,18,38,0,0
95,56,16,0,0
38,49,5,0,0
102,23,54,0,0
107,46,25,0,0
21,33,9,0,0
93,49,37,0,0
116,40,16,0,0
45,18,2,0,0
44,25,37,0,0
20,58,13,0,0
92,17,34,0,0
0,17,48,0,0
39,6,39,0,0
38,56,40,0,0
121,9,52,0,0
31,58,5,0,0
76,58,17,0,0
96,12,58,0,0
13,47,15,0,0
8,18,21,0,0
75,2,16,0,0
85,23,26,0,0
113,46,16,0,0
100,6,42,0,0
95,46,12,0,0
123,18,41,0,0
35,15,9,0,0
54,37,49,1,1
124,49,36,0,0
107,54,23,0,0
26,26,3,0,0
107,17,56,0,0
101,15,58,0,0
120,6,25,0,0
103,25,32,0,0
59,56,12,0,0
113,46,7,0,0
24,32,17,0,0
101,36,40,0,0
2,45,49,0,0
66,52,53,0,0
73,15,9,0,0
41,49,60,0,0
114,12,51,0,0
124,25,16,1,1
6,9,18,0,0
30,25,51,0,0
111,58,35,0,0
17,6,5,0,0
104,9,59,0,0
114,55,1,0,0
64,26,38,0,0
25,31,18,0,0
43,19,49,0,0
25,52,42,0,0
82,19,53,0,0
22,23,13,0,0
25,29,21,0,0
77,5,62,0,0
26,9,49,0,0
119,12,58,0,0
70,23,4,0,0
13,16,22,0,0
52,26,49,0,0
86,25,57,0,0
14,21,35,0,0
58,44,57,0,0
8,6,42,0,0
20,38,54,0,0
36,47,21,1,1
46,49,39,0,0
11,26,24,0,0
76,54,18,0,0
47,33,62,0,0
111,40,17,0,0
35,15,58,0,0
92,12,58,0,0
90,15,35,0,0
117,18,25,0,0
71,31,38,1,1
2,47,2,0,0
46,26,46,0,0
101,22,15,0,0
104,56,61,0,0
1,20,61,0,0
71,19,16,0,0
99,38,18,0,0
24,15,52,0,0
3,49,15,0,0
105,19,42,0,0
1,20,39,0,0
79,49,43,0,0
90,9,54,0,0
69,19,7,0,0
0,15,39,0,0
44,36,40,0,0
50,45,22,0,0
110,32,9,0,0
13,56,62,0,0
120,45,40,0,0
114,49,6,0,0
38,38,6,1,1
10,49,25,0,0
73,22,50,0,0
64,12,34,0,0
17,25,9,0,0
52,33,0,0,0
48,23,6,0,0
69,52,25,0,0
49,33,37,0,0
22,16,5,0,0
27,22,49,0,0
88,17,62,0,0
39,38,43,0,0
102,61,3,0,0
52,2,51,0,0
12,38,11,0,0
15,46,26,0,0
93,56,62,0,0
101,56,57,0,0
43,56,38,0,0
75,54,50,0,0
92,15,56,0,0
23,22,15,0,0
104,26,1,0,0
76,46,25,0,0
21,2,9,0,0
22,56,4,0,0
123,49,0,0,0
24,51,28,0,0
6,56,9,0,0
102,15,58,1,1
0,15,10,0,0
76,2,56,0,0
92,18,39,0,0
79,38,15,0,0
21,58,17,0,0
95,25,60,0,0
70,15,9,0,0
72,46,44,0,0
29,33,16,0,0
30,9,17,0,0
60,18,2,0,0
22,23,30,0,0
35,46,18,1,1
43,6,16,0,0
30,33,38,0,0
119,61,55,0,0
95,17,62,0,0
50,6,25,0,0
49,5,38,0,0
98,16,2,0,0
37,37,6,0,0
30,46,56,1,1
114,15,62,1,1
20,46,10,0,0
75,55,18,1,1
110,38,56,0,0
80,34,2,0,0
26,6,11,0,0
62,58,35,0,0
28,9,6,0,0
81,23,29,0,0
74,21,29,0,0
58,22,49,0,0
12,38,0,0,0
65,47,15,0,0
85,49,9,0,0
61,16,22,0,0
28,25,32,0,0
47,58,38,0,0
3,9,43,0,0
39,2,15,0,0
77,22,47,0,0
124,54,49,0,0
83,25,33,0,0
1,34,28,0,0
80,34,23,0,0
89,23,6,0,0
43,23,42,0,0
41,51,24,0,0
46,54,25,0,0
87,6,56,0,0
13,46,56,0,0
21,6,2,0,0
31,20,54,0,0
20,54,28,0,0
89,46,38,0,0
17,32,20,0,0
33,32,43,0,0
46,23,5,0,0
3,23,11,0,0
64,34,56,0,0
34,17,22,0,0
41,38,27,0,0
120,5,36,0,0
62,33,13,0,0
91,40,37,0,0
3,16,12,0,0
123,46,51,0,0
15,56,62,0,0
117,19,49,0,0
108,49,59,0,0
