cell,drug1_db,drug2_db,synergy,synergistic
44,52,51,0,0
4,42,4,0,0
68,37,2,0,0
60,6,42,1,1
37,42,58,0,0
72,6,19,0,0
10,54,36,0,0
28,3,41,0,0
51,42,18,0,0
6,37,40,0,0
56,59,52,0,0
83,36,19,1,1
66,46,52,0,0
99,26,29,0,0
97,52,30,0,0
69,22,56,0,0
37,8,54,0,0
81,3,12,0,0
63,54,55,0,0
2,1,59,0,0
24,20,4,0,0
102,6,49,0,0
21,45,57,0,0
7,19,59,0,0
79,44,54,0,0
41,55,14,0,0
0,36,56,0,0
70,9,16,0,0
104,56,47,0,0
81,52,58,0,0
99,35,43,0,0
21,16,8,0,0
124,56,19,0,0
76,36,47,1,1
120,48,28,0,0
71,8,18,0,0
20,4,34,0,0
70,57,0,0,0
66,46,6,0,0
36,52,37,0,0
83,14,56,0,0
119,6,17,0,0
47,6,47,0,0
36,19,5,0,0
46,55,16,0,0
124,41,4,0,0
57,46,43,0,0
62,37,60,0,0
47,52,58,0,0
27,37,3,0,0
16,27,9,0,0
32,20,34,0,0
71,6,53,0,0
62,47,30,0,0
22,11,47,0,0
45,4,42,0,0
110,37,28,0,0
76,59,35,0,0
45,36,6,1,1
84,46,43,0,0
51,1,38,0,0
52,4,55,0,0
62,35,29,0,0
96,11,42,0,0
44,35,56,0,0
51,6,39,0,0
56,37,47,0,0
5,6,42,0,0
110,56,50,0,0
12,19,43,0,0
71,23,18,0,0
7,35,56,0,0
10,54,26,0,0
21,17,30,0,0
45,56,20,0,0
42,35,49,0,0
2,39,50,0,0
17,8,50,0,0
23,9,22,0,0
113,42,55,0,0
12,52,43,0,0
11,16,46,0,0
99,48,24,0,0
122,11,38,0,0
15,42,47,0,0
108,45,6,0,0
119,6,1,0,0
53,24,50,0,0
97,19,57,0,0
99,35,12,0,0
30,11,21,0,0
78,52,55,0,0
122,42,23,0,0
76,23,62,0,0
80,14,56,0,0
31,1,21,0,0
94,1,6,0,0
62,48,56,0,0
109,35,40,0,0
58,56,22,0,0
119,53,0,0,0
91,26,60,0,0
2,37,18,0,0
120,48,53,0,0
56,57,3,0,0
54,52,48,0,0
26,23,43,0,0
93,1,56,0,0
