cell,drug1_db,drug2_db,synergy,synergistic
75,10,59,0,0
91,10,40,0,0
0,16,40,0,0
15,37,27,1,1
7,36,25,0,0
77,12,58,0,0
16,55,39,0,0
56,60,54,0,0
17,16,23,0,0
49,58,10,0,0
75,10,44,0,0
61,18,0,0,0
22,16,26,0,0
13,45,0,1,1
93,18,55,0,0
37,16,8,0,0
47,24,17,0,0
70,37,59,0,0
6,0,3,0,0
9,28,52,0,0
20,29,0,0,0
2,19,47,0,0
13,45,27,1,1
3,10,36,0,0
35,38,17,0,0
58,29,17,0,0
3,25,58,0,0
47,20,19,0,0
24,2,45,0,0
97,60,43,0,0
39,11,47,0,0
49,59,34,0,0
11,55,49,0,0
98,58,8,0,0
67,18,37,0,0
47,8,57,0,0
52,10,19,1,1
13,11,28,0,0
12,57,15,0,0
26,8,5,0,0
98,28,0,0,0
98,18,31,0,0
56,25,28,1,1
55,8,19,0,0
27,58,60,0,0
8,19,38,0,0
33,39,26,0,0
60,38,57,0,0
76,0,46,0,0
28,0,6,0,0
33,16,49,0,0
115,15,7,0,0
28,22,26,0,0
13,29,12,0,0
7,0,53,0,0
0,27,48,0,0
86,12,55,0,0
37,36,18,1,1
14,57,44,0,0
28,45,9,0,0
58,11,45,0,0
117,27,29,0,0
10,47,20,0,0
108,37,7,0,0
93,1,0,0,0
30,24,21,0,0
47,8,62,0,0
39,27,7,0,0
61,14,17,0,0
45,17,11,0,0
23,4,32,0,0
76,22,47,1,1
108,10,38,0,0
119,45,34,0,0
98,16,55,0,0
119,24,14,0,0
112,24,15,0,0
49,37,8,0,0
87,1,57,0,0
99,28,47,0,0
113,58,46,0,0
18,47,61,0,0
42,7,35,0,0
90,45,15,1,1
12,15,16,0,0
17,1,6,0,0
5,12,57,0,0
77,22,60,0,0
14,0,52,0,0
32,25,45,0,0
14,16,52,0,0
110,18,39,0,0
71,17,28,0,0
82,28,30,0,0
63,57,45,0,0
116,12,25,0,0
86,58,50,0,0
82,30,45,0,0
1,59,51,0,0
15,7,40,0,0
66,15,20,0,0
1,45,7,0,0
118,47,61,0,0
49,60,53,0,0
105,15,57,0,0
23,15,5,0,0
105,16,38,0,0
86,31,5,0,0
