cell,drug1_db,drug2_db,synergy,synergistic
11,32,18,0,0
59,50,35,0,0
55,23,55,0,0
95,23,52,0,0
77,24,1,0,0
13,18,39,1,1
36,46,57,1,1
74,35,16,0,0
122,44,34,0,0
25,16,39,0,0
79,10,9,0,0
69,8,10,0,0
17,45,50,0,0
10,17,28,0,0
12,1,0,0,0
37,47,59,0,0
97,8,60,0,0
81,23,15,0,0
31,9,2,0,0
54,52,0,0,0
78,44,8,0,0
21,31,27,0,0
101,17,6,0,0
86,16,25,0,0
68,13,38,0,0
58,10,24,0,0
117,31,1,0,0
20,35,0,0,0
69,9,53,0,0
63,43,45,0,0
114,55,57,0,0
22,18,27,0,0
111,43,14,0,0
82,46,20,0,0
22,46,16,0,0
12,6,24,0,0
16,32,28,0,0
78,30,52,0,0
44,57,31,0,0
23,9,52,0,0
56,59,45,0,0
25,9,61,0,0
79,30,50,0,0
77,16,17,0,0
116,55,53,0,0
38,18,8,0,0
122,44,20,0,0
37,39,17,0,0
62,6,24,0,0
82,44,59,0,0
37,47,16,1,1
118,1,34,0,0
101,28,61,0,0
70,44,1,0,0
4,50,35,0,0
71,56,9,0,0
28,36,33,0,0
94,59,7,0,0
111,9,41,0,0
18,27,55,0,0
102,27,41,1,1
79,44,40,0,0
85,6,30,0,0
66,6,41,1,1
17,55,15,0,0
51,44,46,0,0
44,53,16,0,0
91,18,0,0,0
79,35,61,1,1
7,50,18,0,0
51,53,45,0,0
109,18,22,0,0
121,55,49,0,0
12,43,58,0,0
67,44,0,0,0
17,41,23,0,0
102,6,45,0,0
15,57,42,0,0
114,58,61,0,0
35,9,52,0,0
107,41,28,0,0
3,50,16,0,0
35,9,8,0,0
59,41,28,0,0
72,18,53,0,0
6,10,28,0,0
82,35,31,0,0
18,1,23,0,0
66,37,13,0,0
65,50,35,0,0
95,30,52,0,0
55,59,41,0,0
109,39,35,1,1
46,62,21,0,0
46,45,36,0,0
62,18,62,0,0
94,45,11,0,0
19,44,10,0,0
50,4,41,0,0
94,43,45,0,0
42,29,35,0,0
54,24,50,0,0
87,59,0,0,0
53,1,8,0,0
17,46,62,0,0
42,18,35,0,0
124,39,16,0,0
23,24,33,0,0
81,1,21,0,0
81,27,21,0,0
15,18,31,0,0
46,55,20,0,0
101,37,23,0,0
53,44,60,0,0
69,53,50,0,0
56,27,30,0,0
12,62,43,0,0
90,41,55,0,0
108,18,0,0,0
9,16,33,0,0
111,50,55,0,0
31,8,11,0,0
69,28,32,0,0
6,8,24,0,0
42,22,18,0,0
67,62,54,1,1
27,52,40,0,0
104,41,31,0,0
107,8,41,0,0
34,18,40,0,0
3,53,0,0,0
38,8,18,0,0
80,35,2,0,0
71,23,59,0,0
4,17,5,0,0
41,18,24,0,0
42,13,8,0,0
124,10,50,0,0
18,16,44,0,0
15,9,58,0,0
47,35,8,0,0
70,45,35,0,0
101,8,23,0,0
119,57,17,0,0
9,50,8,0,0
103,45,61,0,0
36,41,44,0,0
20,31,23,1,1
81,8,53,0,0
48,41,57,0,0
122,50,49,0,0
18,18,19,0,0
65,32,23,0,0
109,44,37,0,0
38,23,38,0,0
81,41,59,0,0
3,31,17,0,0
62,41,27,0,0
50,18,44,0,0
103,23,62,0,0
94,31,60,0,0
92,24,44,0,0
90,6,61,0,0
64,57,61,0,0
84,36,50,0,0
121,1,60,0,0
89,18,44,0,0
60,23,24,0,0
99,31,13,0,0
62,27,46,0,0
50,36,30,0,0
89,32,8,0,0
56,59,27,0,0
82,46,35,0,0
86,1,6,0,0
16,9,35,0,0
60,45,19,0,0
56,41,26,0,0
118,55,42,0,0
15,45,25,0,0
87,40,16,0,0
87,59,41,0,0
27,23,40,0,0
62,31,2,0,0
105,31,55,0,0
56,53,25,0,0
84,56,44,0,0
48,17,21,0,0
120,13,10,0,0
15,50,12,0,0
96,37,59,0,0
9,33,17,0,0
56,45,3,0,0
58,52,33,0,0
101,50,6,0,0
100,8,20,0,0
46,20,5,0,0
13,35,39,1,1
15,35,59,0,0
15,43,19,0,0
52,17,32,0,0
22,41,16,0,0
18,18,34,0,0
89,59,13,1,1
92,61,17,0,0
120,9,6,0,0
22,1,17,0,0
27,59,41,0,0
105,44,2,0,0
71,36,52,0,0
53,16,53,0,0
17,43,31,0,0
115,44,53,0,0
91,17,3,0,0
84,10,0,0,0
120,38,17,0,0
81,27,41,0,0
102,9,58,0,0
118,55,53,0,0
86,16,31,0,0
71,10,16,0,0
44,61,39,0,0
53,6,62,0,0
93,8,18,0,0
24,8,32,0,0
91,20,55,0,0
75,9,11,0,0
102,62,5,0,0
43,16,39,0,0
40,8,28,0,0
12,8,45,0,0
92,23,61,0,0
36,8,62,0,0
47,35,27,0,0
88,61,44,0,0
22,44,0,0,0
56,9,44,0,0
114,18,11,0,0
32,28,36,0,0
31,27,0,0,0
103,45,51,0,0
38,29,44,0,0
26,4,35,0,0
16,47,37,0,0
111,57,43,0,0
94,27,45,0,0
32,10,23,0,0
86,23,53,0,0
104,9,37,0,0
97,55,35,0,0
102,18,57,0,0
98,28,23,0,0
67,50,1,0,0
113,46,59,0,0
32,28,61,0,0
115,22,53,0,0
1,37,44,0,0
49,30,59,0,0
3,18,48,0,0
61,41,33,0,0
22,23,17,0,0
64,23,13,1,1
110,9,41,0,0
113,1,53,0,0
95,17,50,0,0
39,44,0,0,0
88,36,35,0,0
4,55,12,1,1
91,20,39,0,0
106,20,14,0,0
65,50,32,0,0
122,59,61,0,0
4,23,51,0,0
56,17,21,0,0
97,16,44,0,0
43,10,37,0,0
4,35,61,1,1
56,43,51,0,0
85,45,59,1,1
67,50,30,0,0
120,10,38,0,0
26,1,36,0,0
115,53,47,1,1
90,9,60,0,0
34,50,9,0,0
90,17,25,0,0
81,18,40,0,0
76,35,28,0,0
48,59,42,0,0
0,59,50,0,0
106,23,7,0,0
14,9,24,0,0
105,43,61,0,0
91,59,15,0,0
80,57,1,0,0
77,4,30,0,0
98,35,33,0,0
81,6,41,1,1
69,18,50,0,0
85,17,34,0,0
42,50,31,0,0
66,32,23,0,0
98,35,56,0,0
63,35,11,1,1
60,57,16,0,0
42,61,9,0,0
51,23,3,0,0
115,41,53,1,1
23,41,10,0,0
89,23,59,1,1
20,43,19,0,0
105,6,43,0,0
8,41,56,0,0
87,10,41,0,0
82,27,1,1,1
108,30,18,0,0
63,50,11,0,0
114,6,26,0,0
93,44,29,0,0
15,41,50,0,0
122,16,40,0,0
98,40,8,1,1
91,27,11,0,0
16,16,10,0,0
22,57,41,0,0
111,8,30,0,0
36,41,14,0,0
88,1,23,0,0
3,55,7,0,0
12,57,43,0,0
58,10,28,0,0
109,9,13,0,0
80,45,42,0,0
60,50,59,0,0
16,16,31,1,1
25,31,44,0,0
85,46,23,0,0
53,43,44,0,0
68,29,8,0,0
56,8,45,0,0
72,43,15,0,0
