cell,drug1_db,drug2_db,synergy,synergistic
114,58,13,0,0
33,44,55,0,0
57,33,37,0,0
17,5,26,0,0
97,5,16,0,0
22,21,5,0,0
96,58,62,0,0
26,35,50,0,0
119,61,16,0,0
122,30,44,0,0
29,40,47,1,1
64,58,32,0,0
29,45,43,0,0
98,58,37,0,0
42,14,22,0,0
103,50,27,1,1
7,50,22,0,0
11,33,60,0,0
102,37,61,0,0
122,62,4,0,0
68,57,23,0,0
59,28,30,0,0
1,30,34,0,0
122,19,45,0,0
17,30,19,0,0
85,50,48,0,0
73,30,15,0,0
13,40,32,1,1
50,16,15,0,0
18,10,24,0,0
97,22,41,0,0
27,30,37,0,0
88,19,44,0,0
49,38,13,0,0
41,2,19,0,0
43,62,58,0,0
113,50,58,1,1
43,32,34,0,0
98,57,52,1,1
21,57,41,0,0
99,5,14,0,0
102,27,13,0,0
86,34,40,0,0
66,61,30,0,0
8,45,40,0,0
41,0,18,0,0
73,58,3,0,0
115,58,0,0,0
61,45,26,0,0
14,58,37,0,0
64,32,50,0,0
2,28,60,0,0
52,56,38,0,0
33,27,37,0,0
61,15,25,0,0
105,13,16,0,0
15,30,40,0,0
82,15,59,0,0
61,10,50,0,0
61,40,49,0,0
108,7,60,1,1
5,19,30,0,0
51,3,28,0,0
68,25,4,0,0
103,30,3,0,0
114,35,13,0,0
71,58,30,0,0
100,32,45,0,0
69,28,37,0,0
75,10,25,0,0
79,33,41,0,0
83,58,38,0,0
46,21,9,0,0
29,2,46,0,0
102,37,19,0,0
41,40,45,0,0
10,53,10,1,1
23,30,59,0,0
113,18,8,0,0
121,33,40,0,0
96,2,9,0,0
86,62,20,0,0
116,58,18,0,0
44,15,25,0,0
91,50,30,0,0
14,19,50,0,0
40,40,56,0,0
30,31,62,0,0
110,10,18,1,1
95,15,38,0,0
101,39,2,0,0
38,50,56,0,0
99,58,10,0,0
13,35,30,0,0
38,27,5,0,0
89,31,41,0,0
56,62,37,0,0
31,19,29,0,0
113,7,58,1,1
122,58,12,0,0
17,50,55,0,0
82,5,52,0,0
6,33,7,0,0
34,37,62,0,0
117,10,30,0,0
78,3,28,0,0
70,47,50,0,0
41,45,1,0,0
60,50,28,0,0
28,47,46,0,0
93,58,47,0,0
46,44,26,0,0
18,28,31,0,0
16,8,27,0,0
106,49,8,0,0
71,41,13,0,0
53,5,38,0,0
0,50,28,0,0
24,58,28,0,0
108,5,27,0,0
69,15,23,0,0
25,21,44,0,0
17,25,62,0,0
56,2,6,0,0
30,21,42,0,0
35,45,50,0,0
96,15,0,0,0
45,58,36,0,0
28,37,57,0,0
107,8,5,0,0
18,27,42,0,0
24,58,40,0,0
87,58,3,0,0
48,9,47,0,0
15,25,62,0,0
72,50,10,0,0
17,19,24,0,0
29,5,47,0,0
111,35,40,0,0
60,47,32,0,0
86,37,30,0,0
121,57,49,0,0
58,22,37,0,0
40,61,13,0,0
98,62,6,0,0
109,10,62,0,0
0,37,41,0,0
100,45,35,0,0
114,23,27,0,0
68,40,41,0,0
56,58,54,0,0
12,45,2,1,1
94,7,32,0,0
17,21,44,0,0
31,28,0,0,0
51,16,33,0,0
12,8,27,0,0
36,23,28,0,0
78,61,19,0,0
51,15,27,0,0
101,15,32,0,0
97,40,50,0,0
110,31,40,0,0
85,45,11,0,0
31,9,26,0,0
52,35,13,0,0
73,40,41,0,0
95,62,55,0,0
34,62,18,0,0
110,0,18,0,0
110,19,58,1,1
5,5,7,0,0
12,5,39,0,0
46,15,27,0,0
75,31,49,0,0
97,3,45,0,0
42,15,20,0,0
61,9,21,0,0
27,7,49,0,0
17,2,33,0,0
60,30,11,0,0
37,0,1,0,0
91,3,13,0,0
31,5,4,0,0
42,28,18,0,0
74,33,37,0,0
105,38,23,0,0
47,7,35,0,0
25,2,18,0,0
87,50,22,0,0
44,57,51,0,0
80,27,28,0,0
61,2,47,0,0
102,35,61,0,0
40,33,27,0,0
15,9,28,0,0
63,37,49,0,0
53,30,13,0,0
69,58,50,0,0
103,30,41,0,0
104,44,59,0,0
52,56,33,0,0
81,40,18,1,1
44,27,2,0,0
104,62,2,0,0
77,45,28,0,0
78,60,7,0,0
94,7,45,0,0
14,2,31,0,0
34,10,8,0,0
64,50,35,0,0
15,58,5,0,0
66,3,58,1,1
75,15,48,0,0
31,0,56,0,0
47,5,33,0,0
118,37,30,0,0
17,58,4,0,0
70,33,50,0,0
49,33,37,0,0
120,60,13,1,1
37,58,44,0,0
24,38,58,0,0
74,35,37,0,0
25,27,48,0,0
14,0,40,0,0
15,0,52,0,0
112,21,28,0,0
61,33,49,0,0
66,30,45,0,0
41,19,9,0,0
21,62,6,0,0
93,58,25,1,1
94,49,62,0,0
90,61,3,0,0
41,57,54,0,0
101,32,10,0,0
53,35,28,0,0
56,49,54,0,0
14,19,40,0,0
105,35,61,0,0
6,37,58,0,0
68,44,17,0,0
6,45,32,0,0
30,44,27,0,0
82,19,7,0,0
13,39,22,0,0
98,27,9,0,0
32,45,13,0,0
81,7,18,0,0
3,62,19,1,1
98,9,12,0,0
72,10,15,0,0
77,58,7,0,0
62,50,40,0,0
35,23,37,0,0
20,10,11,0,0
37,28,27,0,0
6,30,55,0,0
28,21,46,0,0
82,10,50,0,0
22,30,9,0,0
124,31,0,0,0
119,50,23,0,0
85,33,29,0,0
79,56,33,0,0
29,10,9,0,0
110,58,19,0,0
8,15,29,0,0
5,28,50,0,0
120,16,28,0,0
6,25,42,0,0
13,28,39,0,0
6,47,62,0,0
47,35,23,0,0
99,53,40,0,0
119,35,27,0,0
65,58,27,0,0
121,45,47,0,0
43,49,40,0,0
69,38,41,0,0
31,28,7,0,0
58,27,10,1,1
101,58,32,0,0
85,44,19,0,0
106,53,45,0,0
1,20,22,0,0
51,13,61,0,0
38,19,37,0,0
2,7,23,0,0
17,58,17,0,0
98,50,55,0,0
98,2,31,0,0
79,37,16,0,0
109,5,62,0,0
8,27,9,0,0
96,9,40,0,0
21,31,15,0,0
115,10,33,0,0
30,44,18,0,0
122,9,7,0,0
73,7,23,0,0
29,9,6,0,0
17,31,59,0,0
6,31,37,0,0
88,30,6,0,0
93,37,49,0,0
8,21,37,1,1
103,45,28,0,0
30,0,50,0,0
17,10,31,0,0
73,33,3,0,0
15,19,51,0,0
94,20,40,0,0
38,60,13,0,0
119,61,45,0,0
35,38,27,0,0
3,28,49,0,0
27,39,34,0,0
40,15,3,0,0
37,5,9,0,0
102,27,41,0,0
7,58,3,0,0
119,37,15,0,0
114,5,19,0,0
21,45,37,0,0
101,62,10,0,0
123,50,33,0,0
70,27,47,0,0
44,30,60,0,0
95,30,1,0,0
54,22,14,0,0
114,13,38,1,1
124,19,6,0,0
70,15,0,0,0
70,0,26,0,0
37,10,31,0,0
56,15,48,0,0
67,50,33,0,0
89,19,50,0,0
23,9,26,0,0
56,28,4,1,1
113,33,28,0,0
66,16,60,0,0
113,8,45,0,0
23,5,30,0,0
96,28,62,0,0
124,57,29,0,0
13,10,28,1,1
59,62,34,0,0
115,5,45,0,0
87,15,28,0,0
84,56,41,0,0
12,7,8,0,0
65,49,32,0,0
91,30,45,0,0
8,40,24,0,0
117,58,2,0,0
60,5,43,0,0
99,50,18,0,0
124,15,17,0,0
60,31,5,0,0
122,27,32,0,0
67,49,18,0,0
121,10,51,0,0
21,15,23,0,0
60,19,51,0,0
112,27,28,0,0
10,7,45,0,0
6,21,38,0,0
78,27,19,1,1
14,31,23,0,0
45,5,62,0,0
118,30,25,0,0
96,62,59,0,0
27,10,20,0,0
121,37,55,0,0
108,15,30,0,0
70,27,58,0,0
75,5,62,0,0
124,28,27,0,0
32,58,40,1,1
6,33,1,0,0
112,40,43,0,0
57,31,60,0,0
26,56,23,0,0
109,58,8,0,0
70,2,49,0,0
124,44,52,0,0
32,30,33,0,0
111,37,23,0,0
88,62,30,0,0
108,58,60,0,0
107,32,18,0,0
25,9,48,0,0
98,21,50,0,0
101,58,35,0,0
25,40,55,0,0
4,49,55,0,0
8,25,32,0,0
27,20,45,0,0
23,5,54,0,0
86,30,22,0,0
95,40,18,0,0
101,8,5,0,0
25,28,43,0,0
87,15,35,0,0
66,7,41,1,1
35,3,45,0,0
96,27,59,0,0
77,58,19,1,1
54,18,35,0,0
121,30,24,0,0
14,50,31,0,0
2,19,23,0,0
116,10,32,0,0
75,47,57,0,0
70,45,32,0,0
70,28,49,0,0
114,5,38,0,0
37,44,28,0,0
108,38,13,0,0
0,50,33,0,0
19,50,5,0,0
111,28,61,0,0
112,27,29,0,0
15,50,51,0,0
8,45,47,0,0
115,15,4,0,0
72,45,27,0,0
48,0,19,0,0
86,18,33,0,0
33,40,23,0,0
28,5,56,0,0
45,40,49,1,1
43,35,2,0,0
50,30,3,0,0
33,0,40,1,1
33,49,17,0,0
41,15,6,0,0
5,61,35,0,0
121,21,42,0,0
22,57,12,1,1
20,31,46,0,0
60,45,59,0,0
6,15,32,0,0
101,34,7,0,0
79,13,23,0,0
107,27,20,0,0
51,28,27,0,0
45,27,23,0,0
40,22,13,0,0
120,56,27,0,0
112,40,52,0,0
3,9,5,0,0
113,45,27,0,0
8,58,47,0,0
81,30,20,0,0
56,57,32,0,0
115,21,6,0,0
75,40,32,0,0
24,41,28,0,0
41,5,6,0,0
17,30,31,0,0
19,57,37,0,0
31,58,29,0,0
5,58,35,1,1
19,40,30,0,0
1,39,53,0,0
123,61,19,1,1
22,2,26,0,0
23,30,57,0,0
25,50,51,0,0
22,19,52,0,0
43,28,5,0,0
95,10,50,0,0
41,10,60,0,0
5,45,58,0,0
110,10,1,0,0
60,50,38,0,0
60,27,30,0,0
98,19,2,0,0
22,31,60,0,0
48,40,0,0,0
82,25,1,0,0
3,40,1,0,0
105,5,7,0,0
44,28,26,0,0
30,50,32,0,0
17,44,48,0,0
