cell,drug1_db,drug2_db,synergy,synergistic
105,55,20,0,0
5,58,10,0,0
104,27,47,0,0
114,35,43,0,0
96,10,14,0,0
6,6,28,0,0
62,13,8,0,0
112,18,34,0,0
39,43,42,0,0
7,55,40,0,0
93,13,19,1,1
95,49,7,0,0
75,14,22,0,0
106,14,19,0,0
54,61,13,0,0
112,56,30,0,0
107,49,2,0,0
63,37,51,0,0
52,53,44,0,0
33,19,52,0,0
21,19,49,0,0
48,61,8,0,0
90,10,34,0,0
112,37,41,0,0
82,56,54,0,0
17,8,3,0,0
43,43,6,0,0
40,52,27,0,0
95,20,57,0,0
39,7,28,0,0
60,7,13,0,0
108,43,27,0,0
1,27,34,0,0
65,56,30,0,0
32,60,8,1,1
24,31,38,0,0
11,47,61,0,0
32,3,13,0,0
42,56,25,1,1
30,8,13,0,0
64,60,34,0,0
112,27,25,0,0
33,30,52,0,0
3,6,56,0,0
60,51,37,0,0
12,35,43,0,0
82,30,55,0,0
123,27,48,0,0
106,19,45,0,0
3,30,19,0,0
60,56,13,0,0
85,2,18,0,0
112,58,7,0,0
118,34,49,0,0
56,53,14,0,0
28,37,22,0,0
40,12,34,0,0
107,56,43,0,0
42,16,44,0,0
83,57,40,0,0
6,31,51,0,0
111,31,41,0,0
94,2,32,0,0
8,14,11,0,0
69,19,31,0,0
36,1,27,0,0
100,56,54,0,0
5,3,44,0,0
85,34,55,0,0
95,56,46,0,0
103,27,14,0,0
60,37,47,0,0
118,7,58,0,0
3,20,0,0,0
78,20,38,0,0
118,31,2,0,0
82,30,31,0,0
25,47,32,0,0
65,31,34,0,0
116,22,61,0,0
4,27,14,0,0
83,37,4,0,0
68,55,16,0,0
119,2,6,0,0
39,14,56,0,0
86,49,16,0,0
49,19,12,0,0
7,2,56,0,0
68,6,62,0,0
18,8,43,0,0
121,14,57,0,0
65,35,58,0,0
18,36,56,0,0
110,3,23,0,0
90,48,52,0,0
110,44,13,0,0
41,43,10,0,0
93,58,29,0,0
68,31,55,0,0
36,18,8,0,0
22,20,37,0,0
21,49,61,0,0
116,54,12,0,0
3,43,33,0,0
20,8,23,0,0
105,13,7,0,0
9,27,54,0,0
69,7,56,0,0
102,44,6,0,0
33,44,21,0,0
22,43,7,0,0
97,53,52,0,0
60,14,34,0,0
112,44,33,0,0
49,32,31,0,0
16,32,8,0,0
91,56,49,0,0
70,36,13,1,1
57,1,43,0,0
66,27,34,0,0
44,20,34,0,0
25,8,27,0,0
24,2,35,0,0
119,57,35,0,0
14,13,56,0,0
120,39,5,0,0
8,43,10,0,0
93,16,18,0,0
43,57,54,0,0
38,48,49,0,0
74,3,15,0,0
52,49,2,0,0
102,37,33,0,0
5,31,44,1,1
17,3,5,0,0
111,27,50,0,0
87,47,32,0,0
55,10,8,0,0
75,14,16,0,0
26,56,39,0,0
64,30,14,0,0
23,10,32,0,0
94,13,44,1,1
73,37,49,0,0
45,11,39,0,0
17,49,15,1,1
115,53,19,1,1
3,6,17,1,1
29,2,40,0,0
22,53,45,0,0
77,58,44,0,0
78,18,48,0,0
43,13,33,0,0
112,35,0,0,0
44,19,55,0,0
57,49,32,0,0
72,34,20,0,0
9,20,56,0,0
85,34,57,0,0
25,2,61,0,0
8,60,13,0,0
28,31,43,0,0
20,2,13,0,0
6,27,2,0,0
50,18,19,0,0
120,8,27,0,0
21,47,27,0,0
31,14,43,0,0
57,61,18,1,1
10,6,50,0,0
24,20,62,0,0
69,34,49,0,0
56,43,14,0,0
35,1,18,0,0
103,7,28,0,0
78,2,29,0,0
95,37,45,0,0
97,35,16,0,0
32,2,37,0,0
82,16,42,0,0
91,30,11,0,0
17,37,54,0,0
68,35,37,0,0
12,34,38,0,0
65,37,20,0,0
2,30,49,0,0
67,53,61,0,0
6,56,50,0,0
56,19,31,0,0
14,19,41,1,1
4,58,30,0,0
85,49,4,0,0
17,39,14,0,0
93,27,14,0,0
92,6,19,0,0
5,58,30,0,0
62,56,43,0,0
122,18,37,0,0
73,15,18,0,0
103,34,56,1,1
7,30,58,0,0
102,2,28,0,0
86,53,13,0,0
20,53,49,0,0
15,35,6,0,0
7,6,17,0,0
25,54,44,0,0
109,30,52,0,0
41,48,13,0,0
86,34,2,1,1
41,18,49,0,0
105,34,59,0,0
95,56,17,0,0
114,6,56,1,1
64,13,2,0,0
98,51,43,0,0
3,44,25,0,0
106,19,12,0,0
58,58,39,0,0
89,23,49,0,0
13,13,45,0,0
106,2,6,0,0
54,1,27,0,0
37,55,4,0,0
41,48,18,0,0
48,43,32,0,0
7,37,14,0,0
52,18,8,0,0
97,19,13,0,0
18,14,36,0,0
43,43,27,0,0
90,8,1,0,0
107,53,37,0,0
104,19,2,0,0
117,37,26,0,0
60,7,37,0,0
124,49,53,0,0
119,51,42,0,0
63,58,44,0,0
81,47,26,0,0
20,58,15,0,0
44,7,49,0,0
36,34,2,0,0
56,44,43,0,0
34,19,53,0,0
107,13,15,1,1
63,34,13,0,0
88,19,1,0,0
71,14,9,0,0
117,1,53,0,0
42,30,57,0,0
109,30,33,0,0
47,49,10,0,0
102,35,62,0,0
50,31,8,0,0
83,13,9,0,0
80,43,32,0,0
23,48,47,0,0
106,53,38,0,0
79,32,22,0,0
92,43,48,0,0
71,37,21,0,0
1,32,22,0,0
31,19,11,0,0
59,18,20,0,0
110,43,14,0,0
31,6,38,0,0
65,7,55,0,0
74,15,43,1,1
105,43,40,0,0
112,7,44,0,0
85,13,17,0,0
118,30,53,0,0
121,30,52,0,0
50,49,61,0,0
69,34,38,0,0
33,37,22,0,0
45,49,54,0,0
65,6,46,0,0
32,36,49,1,1
91,27,14,0,0
84,22,1,0,0
101,34,19,0,0
42,56,52,0,0
78,43,9,0,0
75,13,42,0,0
71,20,18,0,0
39,49,2,0,0
56,31,0,0,0
22,44,6,0,0
112,6,44,0,0
89,15,5,0,0
118,6,27,0,0
69,56,47,0,0
71,20,46,0,0
73,11,27,0,0
54,44,32,0,0
109,44,43,0,0
12,18,6,0,0
105,14,42,0,0
0,61,31,0,0
15,16,40,0,0
60,18,25,0,0
36,19,8,0,0
79,13,10,0,0
68,57,59,0,0
39,13,33,0,0
85,56,17,0,0
83,53,48,0,0
29,57,62,0,0
61,61,22,0,0
24,30,28,0,0
42,37,7,0,0
109,6,29,0,0
76,8,54,0,0
75,56,19,0,0
24,44,42,0,0
3,37,2,0,0
5,11,53,0,0
8,53,14,0,0
99,55,49,0,0
93,57,6,0,0
9,14,6,0,0
37,27,37,0,0
3,57,28,0,0
68,43,45,0,0
12,2,19,0,0
39,56,43,0,0
26,27,34,0,0
72,49,21,0,0
37,49,60,0,0
75,57,24,0,0
112,31,53,0,0
42,51,35,0,0
70,5,2,0,0
8,36,43,0,0
59,13,35,0,0
122,12,48,0,0
87,54,27,0,0
63,37,13,0,0
14,30,28,0,0
35,19,34,0,0
22,19,0,0,0
105,31,7,0,0
99,49,2,0,0
38,27,22,0,0
27,23,5,0,0
70,27,14,0,0
41,2,18,0,0
51,13,2,0,0
72,53,41,0,0
31,55,42,0,0
66,34,14,0,0
1,26,32,0,0
5,23,18,0,0
8,39,36,0,0
118,6,31,0,0
61,48,47,0,0
107,39,10,0,0
60,35,22,0,0
6,56,13,0,0
114,35,37,0,0
44,44,52,0,0
3,58,0,0,0
123,2,19,0,0
