cell,drug1_db,drug2_db,synergy,synergistic
63,6,9,0,0
91,0,17,0,0
59,9,16,0,0
1,38,11,0,0
102,21,31,0,0
53,36,48,0,0
76,44,47,0,0
83,61,25,0,0
54,35,2,0,0
20,36,23,0,0
65,0,31,0,0
116,9,27,0,0
120,38,45,0,0
48,51,53,0,0
107,29,30,0,0
122,21,29,0,0
68,0,16,0,0
89,16,9,0,0
41,9,60,0,0
14,57,40,0,0
107,51,17,0,0
39,11,20,0,0
59,15,31,0,0
89,2,50,0,0
49,6,41,0,0
26,37,17,0,0
60,20,7,0,0
36,1,11,0,0
94,6,1,0,0
40,38,41,0,0
6,6,23,0,0
90,38,10,0,0
82,2,15,1,1
68,61,16,0,0
35,44,2,0,0
56,16,44,0,0
4,6,45,0,0
76,24,23,0,0
29,22,31,0,0
72,29,36,0,0
54,20,2,1,1
48,46,49,0,0
98,31,24,0,0
9,0,21,0,0
91,61,11,0,0
3,49,34,0,0
90,22,10,0,0
0,56,29,0,0
40,29,14,0,0
46,6,59,0,0
26,55,25,0,0
29,0,30,0,0
26,55,37,0,0
121,20,19,0,0
72,36,39,0,0
44,3,59,0,0
108,62,6,1,1
3,62,44,0,0
90,0,58,0,0
45,44,40,0,0
92,21,62,0,0
107,51,52,0,0
14,57,35,0,0
107,48,8,0,0
70,31,2,0,0
67,44,61,0,0
45,36,58,0,0
53,20,35,0,0
50,49,2,0,0
51,25,61,0,0
75,1,30,0,0
20,36,24,0,0
15,56,25,0,0
79,44,24,0,0
18,30,6,0,0
46,46,12,0,0
58,0,20,0,0
102,0,14,0,0
27,21,41,0,0
24,21,47,0,0
3,16,42,0,0
27,38,55,0,0
5,25,1,0,0
8,17,61,0,0
40,2,12,0,0
19,60,8,1,1
91,44,18,0,0
32,46,39,0,0
90,36,31,0,0
27,38,47,0,0
104,0,49,0,0
98,35,38,0,0
88,50,4,0,0
65,53,62,0,0
70,46,51,0,0
59,50,15,0,0
76,51,8,0,0
104,20,47,0,0
98,21,11,0,0
78,60,19,0,0
49,3,52,0,0
101,31,55,0,0
9,55,17,0,0
109,0,6,0,0
27,17,52,0,0
102,21,58,0,0
40,22,0,0,0
12,51,59,0,0
36,6,24,0,0
121,52,46,0,0
124,1,60,0,0
57,12,38,0,0
24,6,46,0,0
25,16,37,0,0
90,12,38,1,1
94,44,60,0,0
110,35,3,0,0
72,38,57,0,0
59,46,47,0,0
92,48,23,0,0
89,50,9,0,0
92,24,35,0,0
53,38,22,0,0
102,44,55,0,0
56,18,60,0,0
48,46,17,0,0
95,51,21,0,0
19,52,58,0,0
70,24,17,0,0
26,55,18,0,0
57,31,8,0,0
11,31,53,0,0
86,51,12,0,0
24,21,36,0,0
64,31,30,0,0
102,2,41,0,0
95,1,21,0,0
121,29,36,0,0
120,46,11,0,0
103,0,24,0,0
27,48,12,0,0
65,31,21,0,0
60,24,54,0,0
98,29,26,0,0
102,38,14,0,0
89,15,62,0,0
96,38,0,0,0
14,2,17,0,0
29,57,20,1,1
107,60,59,0,0
55,55,21,0,0
10,18,37,0,0
88,62,35,0,0
49,36,0,0,0
60,36,12,0,0
44,23,51,0,0
86,51,7,0,0
47,46,17,0,0
24,48,59,0,0
28,1,11,0,0
34,34,62,0,0
59,51,1,0,0
20,24,25,0,0
38,29,35,0,0
36,52,36,0,0
56,25,35,0,0
60,44,38,0,0
90,46,55,0,0
91,16,0,0,0
72,20,47,0,0
5,44,0,0,0
7,22,13,0,0
119,20,35,0,0
120,6,23,0,0
116,25,17,0,0
27,3,51,0,0
72,22,14,0,0
80,23,13,0,0
23,6,25,0,0
7,21,26,0,0
20,0,62,0,0
19,48,30,0,0
30,38,43,0,0
24,12,32,0,0
1,22,6,0,0
57,60,12,0,0
2,0,54,0,0
20,17,1,0,0
35,2,20,1,1
36,48,2,0,0
27,31,28,0,0
45,36,2,0,0
87,25,21,0,0
103,44,7,0,0
6,1,54,0,0
94,16,1,0,0
45,6,38,0,0
111,20,34,0,0
113,62,49,0,0
53,24,57,0,0
32,17,23,0,0
49,12,17,0,0
42,61,55,0,0
1,3,31,0,0
38,53,42,0,0
96,56,21,0,0
34,53,62,0,0
103,35,18,0,0
84,16,62,0,0
4,21,5,0,0
70,12,2,0,0
120,44,52,0,0
79,12,14,0,0
19,17,3,0,0
99,16,34,0,0
18,9,35,0,0
1,38,41,0,0
79,1,62,0,0
78,20,58,0,0
49,36,28,0,0
43,1,21,0,0
61,23,20,1,1
64,57,48,1,1
80,38,40,0,0
12,60,2,0,0
87,62,61,0,0
43,20,16,0,0
1,36,0,0,0
33,3,58,0,0
69,48,55,0,0
117,62,17,0,0
72,23,43,1,1
70,21,2,1,1
20,51,14,0,0
20,24,62,0,0
9,56,20,0,0
100,35,62,0,0
47,16,9,0,0
45,46,31,0,0
86,3,47,0,0
30,44,0,0,0
4,24,38,0,0
78,0,8,0,0
2,17,59,0,0
33,6,47,0,0
30,44,19,0,0
95,31,29,0,0
28,1,17,0,0
27,52,51,1,1
116,16,60,0,0
38,1,50,0,0
34,20,22,0,0
36,35,29,0,0
17,0,35,0,0
50,49,4,0,0
16,49,1,0,0
12,29,32,0,0
67,0,44,0,0
107,35,26,0,0
110,35,32,0,0
19,0,12,0,0
78,31,14,0,0
45,24,3,0,0
99,16,31,0,0
8,27,62,0,0
47,2,17,0,0
41,51,17,0,0
37,20,56,0,0
30,21,0,0,0
33,17,12,0,0
53,17,21,0,0
84,16,61,0,0
63,62,29,0,0
46,29,19,0,0
40,22,39,0,0
21,23,1,0,0
103,36,22,0,0
1,38,52,0,0
101,35,21,0,0
19,57,33,0,0
37,9,16,0,0
78,44,59,0,0
24,35,12,0,0
107,31,60,0,0
6,29,50,0,0
88,49,46,0,0
28,6,38,0,0
95,0,25,0,0
49,12,43,0,0
10,25,60,0,0
123,53,51,0,0
109,29,37,0,0
8,37,61,0,0
58,4,47,0,0
42,56,30,0,0
82,50,46,0,0
70,3,24,0,0
98,6,41,0,0
122,9,21,0,0
44,46,52,0,0
10,37,0,0,0
6,3,47,0,0
116,62,29,0,0
95,22,18,0,0
121,1,14,0,0
122,0,30,0,0
119,51,47,0,0
117,51,34,0,0
4,57,23,0,0
94,31,0,0,0
47,60,16,0,0
72,2,23,0,0
68,20,37,0,0
13,29,55,0,0
98,35,43,0,0
76,6,14,0,0
86,46,29,0,0
40,38,20,0,0
116,62,30,0,0
95,44,51,0,0
121,57,28,0,0
32,17,35,0,0
39,6,27,0,0
88,16,31,1,1
33,36,7,0,0
66,0,62,0,0
88,6,44,0,0
87,17,27,0,0
87,37,38,0,0
114,42,53,0,0
57,20,52,0,0
116,37,0,0,0
31,2,17,0,0
80,2,60,0,0
113,34,4,0,0
102,46,19,0,0
6,23,2,0,0
81,44,37,0,0
47,16,6,0,0
30,24,51,0,0
124,17,43,0,0
23,21,60,0,0
12,44,12,0,0
113,46,35,1,1
44,2,36,1,1
97,2,38,1,1
106,35,6,0,0
64,38,11,0,0
35,6,44,0,0
59,47,9,0,0
25,38,9,0,0
32,46,5,0,0
96,11,37,0,0
84,62,0,0,0
105,56,1,0,0
53,12,17,0,0
111,4,2,0,0
42,61,2,0,0
3,6,0,0,0
36,38,54,0,0
70,35,55,0,0
49,0,45,0,0
103,57,41,0,0
59,17,35,0,0
62,18,21,0,0
117,50,51,0,0
9,60,30,0,0
78,12,28,0,0
61,1,55,1,1
40,20,51,0,0
66,0,9,0,0
92,2,41,0,0
124,46,14,0,0
80,20,0,0,0
92,46,31,1,1
74,60,20,0,0
111,9,29,0,0
51,27,35,0,0
98,57,50,0,0
40,23,44,0,0
71,47,29,0,0
68,30,18,0,0
93,16,38,0,0
24,2,44,0,0
65,16,29,0,0
48,60,4,1,1
77,55,44,0,0
94,22,21,0,0
68,2,11,0,0
44,57,23,0,0
28,37,61,0,0
80,46,20,0,0
93,44,56,0,0
106,30,6,0,0
123,16,49,0,0
80,51,1,0,0
9,9,20,0,0
123,47,51,0,0
78,0,62,0,0
1,1,32,0,0
98,60,46,1,1
19,38,52,0,0
117,53,20,0,0
37,56,2,0,0
60,20,32,0,0
98,0,12,0,0
29,52,29,0,0
29,60,17,0,0
103,3,25,0,0
87,62,2,0,0
8,62,60,0,0
43,34,50,0,0
118,20,17,0,0
50,22,16,0,0
110,48,60,0,0
95,17,50,0,0
23,62,17,0,0
61,2,11,0,0
16,17,49,0,0
18,20,25,0,0
109,17,29,0,0
67,17,25,0,0
22,61,60,0,0
