cell,drug1_db,drug2_db,synergy,synergistic
60,55,22,0,0
58,30,56,0,0
80,16,40,0,0
47,30,31,0,0
44,44,26,0,0
89,44,6,0,0
50,5,45,0,0
115,15,46,0,0
75,56,20,0,0
52,23,60,0,0
51,35,11,0,0
22,29,62,0,0
104,24,22,0,0
96,37,7,0,0
31,14,36,0,0
7,7,52,0,0
17,16,25,0,0
18,37,20,0,0
5,11,8,0,0
108,53,42,0,0
21,7,52,0,0
13,37,14,0,0
106,30,50,0,0
79,25,16,0,0
28,57,16,0,0
84,11,57,0,0
81,43,11,0,0
28,37,45,0,0
106,34,36,0,0
42,55,58,0,0
60,37,38,0,0
69,45,44,0,0
114,55,18,0,0
106,23,49,0,0
30,40,54,0,0
27,56,29,0,0
14,44,14,0,0
86,62,8,0,0
90,44,8,0,0
22,15,41,0,0
38,16,36,0,0
117,15,43,0,0
42,34,13,0,0
13,17,15,1,1
108,49,45,0,0
81,28,40,1,1
51,5,1,0,0
95,30,44,0,0
0,52,31,0,0
34,16,30,0,0
123,43,15,0,0
44,45,6,0,0
44,24,8,0,0
92,37,4,0,0
31,45,12,0,0
79,18,52,0,0
45,18,9,0,0
50,15,11,0,0
40,40,16,0,0
79,29,59,0,0
45,28,11,0,0
114,34,18,0,0
65,51,39,0,0
2,18,41,0,0
67,11,53,0,0
14,34,49,0,0
38,24,48,0,0
70,50,49,0,0
3,18,7,0,0
89,18,37,0,0
60,45,22,0,0
91,41,29,0,0
6,28,32,0,0
107,30,62,0,0
7,40,46,0,0
44,18,38,0,0
112,40,47,0,0
68,7,30,0,0
12,58,50,0,0
61,26,3,0,0
50,40,6,0,0
30,24,54,0,0
28,43,11,0,0
94,41,52,0,0
64,14,16,0,0
47,46,40,0,0
8,29,45,0,0
44,42,55,0,0
89,34,61,0,0
110,26,49,0,0
47,16,27,0,0
110,42,11,0,0
16,50,14,0,0
67,14,45,0,0
93,16,43,0,0
12,26,34,0,0
51,45,34,0,0
8,49,42,0,0
110,26,2,0,0
30,26,21,0,0
52,40,36,0,0
76,49,59,0,0
61,37,33,0,0
50,24,37,0,0
55,49,16,0,0
5,15,19,0,0
8,15,47,0,0
114,29,14,0,0
44,35,23,0,0
117,39,53,0,0
67,18,24,0,0
70,28,53,0,0
89,24,60,1,1
50,34,3,0,0
67,17,37,0,0
2,27,20,0,0
98,43,49,0,0
80,42,40,0,0
76,44,2,0,0
85,14,16,0,0
8,11,1,0,0
82,30,16,0,0
60,29,55,0,0
57,26,11,0,0
52,34,14,0,0
20,49,52,0,0
77,57,39,0,0
11,24,60,0,0
66,11,28,0,0
12,56,23,0,0
39,40,11,0,0
33,45,21,0,0
5,14,0,0,0
106,58,22,0,0
95,25,32,0,0
19,16,45,0,0
60,11,3,0,0
92,44,55,0,0
21,9,7,0,0
16,57,28,0,0
67,10,17,0,0
14,34,29,0,0
124,53,37,0,0
27,58,37,0,0
94,20,48,0,0
120,47,11,0,0
29,10,46,0,0
57,56,47,0,0
6,23,52,0,0
20,29,40,0,0
59,24,40,0,0
57,23,42,0,0
75,18,8,0,0
110,56,59,0,0
58,30,34,0,0
1,11,30,0,0
24,56,37,0,0
8,55,40,0,0
70,45,49,0,0
77,10,46,0,0
11,58,3,0,0
42,15,16,0,0
47,20,16,0,0
38,55,56,0,0
34,41,27,0,0
60,24,59,0,0
112,42,35,0,0
96,42,52,0,0
33,28,42,0,0
50,18,12,0,0
68,8,42,0,0
45,62,27,0,0
85,53,43,0,0
59,56,54,0,0
4,15,49,0,0
58,40,25,0,0
79,58,18,0,0
20,18,28,0,0
65,15,18,0,0
16,43,10,0,0
29,15,44,0,0
44,44,0,0,0
70,57,17,0,0
39,46,40,0,0
107,62,11,0,0
52,23,61,0,0
16,37,56,0,0
