cell,drug1_db,drug2_db,synergy,synergistic
57,14,47,0,0
49,47,42,0,0
72,20,61,0,0
8,58,52,0,0
65,0,36,0,0
112,29,6,0,0
9,31,58,0,0
118,18,41,0,0
121,14,57,0,0
63,33,61,0,0
80,26,25,0,0
61,25,38,0,0
31,31,27,0,0
50,14,37,1,1
93,12,38,0,0
21,20,8,0,0
77,53,11,0,0
118,23,55,0,0
63,20,26,0,0
12,25,14,0,0
72,47,55,1,1
46,26,25,0,0
83,38,12,0,0
67,44,25,0,0
89,62,17,0,0
105,33,29,0,0
31,38,60,0,0
118,12,44,0,0
19,25,54,0,0
55,28,1,0,0
82,15,59,0,0
24,62,33,0,0
60,58,26,0,0
17,23,56,0,0
3,58,54,0,0
19,53,58,1,1
18,40,21,0,0
78,32,24,0,0
107,1,35,0,0
29,14,42,0,0
17,18,12,0,0
108,38,2,0,0
77,0,36,0,0
37,24,22,0,0
116,24,40,0,0
36,52,53,1,1
21,47,22,0,0
90,62,41,0,0
14,48,17,0,0
20,35,24,0,0
51,23,22,1,1
37,28,48,0,0
23,24,15,0,0
101,18,8,0,0
48,62,28,0,0
110,35,8,0,0
15,14,50,0,0
75,18,8,0,0
8,3,25,0,0
20,21,10,0,0
87,42,52,0,0
36,33,24,0,0
88,14,29,0,0
65,62,53,0,0
62,21,40,0,0
44,15,59,0,0
44,1,29,0,0
84,40,28,0,0
32,10,36,0,0
89,14,28,0,0
19,23,30,0,0
10,60,36,0,0
106,31,57,0,0
28,60,50,0,0
47,28,58,1,1
46,35,5,0,0
43,40,0,0,0
7,8,58,0,0
51,23,60,1,1
44,12,44,0,0
2,25,48,0,0
51,47,6,0,0
61,20,54,0,0
106,28,43,0,0
8,8,20,0,0
14,56,27,0,0
40,62,29,0,0
106,48,20,0,0
34,54,12,0,0
61,8,36,0,0
54,58,17,0,0
37,60,13,0,0
67,12,5,0,0
30,10,51,0,0
74,28,42,0,0
67,33,44,0,0
11,24,48,0,0
59,14,23,0,0
124,35,54,0,0
39,29,6,0,0
124,8,29,0,0
87,5,33,0,0
17,53,23,0,0
111,12,34,0,0
60,29,14,0,0
78,47,32,0,0
43,33,16,0,0
29,44,62,0,0
71,44,40,0,0
124,31,36,0,0
95,42,54,0,0
112,23,4,0,0
117,25,51,0,0
67,40,54,0,0
117,29,25,0,0
24,25,48,0,0
110,25,8,0,0
27,35,1,0,0
56,52,17,0,0
94,14,5,0,0
59,8,49,0,0
8,24,19,0,0
1,56,25,0,0
66,38,11,0,0
54,58,30,0,0
33,60,53,0,0
86,30,45,0,0
100,52,62,0,0
92,62,40,0,0
28,18,53,0,0
77,46,58,0,0
102,56,2,0,0
109,28,54,0,0
113,58,59,0,0
16,62,44,0,0
74,18,34,0,0
96,5,31,0,0
73,18,59,0,0
115,51,14,0,0
41,62,58,0,0
47,47,58,0,0
123,24,58,1,1
8,31,60,0,0
79,49,48,0,0
19,14,41,1,1
48,48,28,0,0
76,53,8,0,0
22,21,51,0,0
52,23,33,1,1
56,21,33,0,0
17,20,57,0,0
21,3,13,0,0
111,47,45,0,0
1,38,29,0,0
108,20,57,0,0
0,62,52,0,0
41,33,38,0,0
15,14,29,0,0
1,18,20,0,0
52,53,42,0,0
54,18,29,0,0
73,58,39,0,0
19,29,48,0,0
72,49,25,0,0
90,53,30,0,0
90,12,62,0,0
6,14,62,0,0
39,38,13,0,0
23,21,40,0,0
62,29,10,0,0
98,31,60,1,1
79,3,22,0,0
2,33,42,0,0
87,35,24,0,0
61,28,25,0,0
116,10,33,0,0
11,14,33,0,0
10,49,7,0,0
89,33,58,0,0
108,18,8,0,0
72,56,53,0,0
1,25,54,0,0
76,3,8,0,0
41,35,14,0,0
21,49,3,0,0
118,24,18,0,0
17,58,52,0,0
95,33,24,0,0
70,32,29,0,0
14,35,33,0,0
16,58,22,0,0
118,62,31,0,0
105,46,58,0,0
119,24,35,0,0
102,62,19,0,0
88,35,54,0,0
52,28,41,0,0
28,31,3,0,0
104,28,25,0,0
39,62,25,0,0
32,31,33,0,0
94,29,32,0,0
15,38,20,0,0
78,62,24,0,0
63,3,12,0,0
13,59,47,0,0
110,18,44,0,0
50,47,41,0,0
93,28,19,0,0
12,31,24,0,0
103,21,44,0,0
106,30,48,0,0
28,56,9,0,0
118,25,60,0,0
44,32,47,0,0
116,46,62,0,0
26,58,52,0,0
29,35,14,0,0
36,21,33,0,0
33,53,23,0,0
60,29,59,0,0
67,40,12,0,0
21,56,28,0,0
106,28,34,0,0
15,3,4,0,0
76,30,35,0,0
107,21,33,0,0
91,31,5,0,0
18,28,38,0,0
69,11,51,0,0
35,24,35,0,0
106,24,39,0,0
106,53,37,0,0
61,8,20,0,0
24,35,25,0,0
14,56,8,0,0
42,30,20,0,0
82,52,59,0,0
113,24,26,0,0
93,8,44,0,0
2,53,39,0,0
28,14,17,1,1
117,0,53,0,0
123,54,15,0,0
1,58,3,0,0
14,8,28,0,0
20,48,25,0,0
70,14,1,0,0
43,12,10,0,0
93,12,23,0,0
50,23,3,0,0
31,33,49,0,0
15,53,22,0,0
79,33,62,0,0
34,40,28,0,0
93,53,56,0,0
102,23,50,0,0
52,3,37,0,0
58,29,28,0,0
37,20,61,0,0
39,38,34,0,0
102,31,61,0,0
124,35,23,0,0
31,8,34,0,0
90,25,50,0,0
19,29,27,0,0
4,10,16,0,0
47,52,5,0,0
110,3,50,0,0
121,35,24,0,0
86,47,61,0,0
42,53,37,0,0
28,60,39,0,0
80,52,26,0,0
118,12,58,0,0
7,56,13,0,0
4,58,12,0,0
102,47,7,0,0
28,31,19,0,0
124,25,9,0,0
102,31,59,0,0
63,28,47,0,0
75,49,36,0,0
31,8,13,0,0
116,36,51,0,0
25,23,37,0,0
39,53,36,0,0
118,29,19,0,0
101,20,49,1,1
37,38,23,0,0
52,53,17,0,0
84,32,21,0,0
122,38,56,0,0
77,35,25,0,0
65,21,35,0,0
2,58,17,0,0
52,49,14,0,0
119,62,15,0,0
102,60,50,0,0
19,56,52,1,1
2,33,8,0,0
81,58,33,0,0
23,58,5,0,0
90,28,42,0,0
10,48,24,0,0
39,31,29,0,0
63,38,41,0,0
31,35,4,0,0
75,38,13,0,0
106,18,48,0,0
7,28,24,0,0
46,62,1,0,0
66,53,46,0,0
92,54,25,0,0
26,28,58,0,0
45,24,12,1,1
118,25,31,0,0
24,48,31,0,0
89,24,6,0,0
83,20,35,0,0
34,14,26,0,0
13,32,59,0,0
5,25,24,0,0
8,14,45,1,1
37,12,9,0,0
92,35,52,0,0
31,49,62,0,0
86,33,18,0,0
56,35,14,1,1
124,20,35,0,0
65,24,31,0,0
92,52,35,0,0
72,29,54,0,0
108,28,54,0,0
16,18,30,0,0
97,12,25,0,0
38,5,28,0,0
15,24,23,0,0
96,24,47,0,0
90,23,2,0,0
92,25,5,0,0
115,35,51,0,0
101,62,25,0,0
22,51,17,0,0
32,62,25,0,0
102,62,41,0,0
105,40,60,0,0
89,35,37,0,0
90,3,30,0,0
85,14,21,0,0
73,23,44,1,1
50,47,3,0,0
42,28,3,0,0
58,16,40,0,0
26,8,38,0,0
75,23,13,0,0
58,28,51,0,0
111,23,34,0,0
52,33,62,0,0
97,35,16,0,0
33,12,28,0,0
100,12,31,0,0
107,12,58,0,0
73,18,42,0,0
93,60,14,1,1
97,21,51,0,0
71,26,42,0,0
14,62,13,0,0
116,21,17,0,0
38,25,5,0,0
91,25,12,0,0
28,62,12,0,0
109,1,42,0,0
77,10,62,0,0
1,31,58,0,0
118,20,27,0,0
7,58,26,0,0
87,29,15,0,0
52,38,35,0,0
37,62,12,0,0
84,12,33,0,0
50,23,38,0,0
106,12,31,0,0
16,8,53,0,0
82,26,24,0,0
117,53,29,0,0
15,28,58,0,0
51,3,57,0,0
16,58,53,0,0
17,53,44,0,0
31,18,45,0,0
26,56,27,0,0
91,44,35,0,0
11,46,25,0,0
58,25,12,0,0
103,15,24,0,0
29,25,26,0,0
25,3,18,0,0
118,3,33,0,0
21,48,38,1,1
110,30,43,0,0
99,52,33,0,0
56,62,31,0,0
32,10,31,0,0
66,51,31,0,0
0,25,42,0,0
83,30,49,0,0
93,35,17,0,0
21,23,9,0,0
59,58,25,0,0
13,32,42,0,0
76,60,14,0,0
71,52,33,0,0
61,31,56,0,0
119,35,24,0,0
91,47,12,0,0
31,38,17,0,0
85,33,58,0,0
75,33,39,0,0
48,12,41,0,0
93,30,27,0,0
24,58,16,0,0
21,62,31,0,0
11,38,29,0,0
25,47,18,0,0
3,42,31,0,0
21,25,39,0,0
12,31,5,0,0
89,60,41,0,0
58,21,14,0,0
45,33,28,0,0
15,33,19,0,0
51,35,45,0,0
1,48,22,0,0
80,21,31,0,0
111,31,25,0,0
73,53,33,0,0
75,47,28,0,0
69,12,51,0,0
110,12,54,0,0
21,30,29,0,0
90,29,56,0,0
17,35,56,0,0
25,12,33,0,0
113,59,25,0,0
71,26,31,0,0
121,18,3,0,0
93,48,6,0,0
33,20,42,0,0
24,25,60,0,0
93,24,35,0,0
35,35,29,0,0
118,48,17,0,0
4,35,33,0,0
78,14,42,0,0
104,31,52,0,0
82,35,42,0,0
85,21,62,0,0
92,44,1,0,0
118,18,52,0,0
91,47,24,0,0
104,33,18,0,0
93,25,7,0,0
7,18,3,0,0
121,18,59,0,0
19,25,22,0,0
118,29,58,0,0
69,51,58,0,0
31,30,48,0,0
70,1,42,0,0
110,53,13,0,0
109,35,5,0,0
86,14,60,0,0
45,15,59,0,0
21,31,30,0,0
114,60,40,0,0
12,21,26,0,0
93,14,41,0,0
59,18,7,0,0
69,10,53,0,0
8,30,42,0,0
63,62,20,0,0
51,29,4,0,0
65,31,35,0,0
8,35,9,0,0
90,38,22,0,0
70,62,33,0,0
61,8,58,0,0
88,26,24,0,0
122,60,8,0,0
61,8,31,0,0
57,3,47,0,0
45,32,62,0,0
107,25,1,0,0
35,35,21,0,0
82,15,35,0,0
66,62,58,0,0
65,46,58,0,0
91,31,29,0,0
39,53,29,0,0
112,14,44,0,0
87,21,25,0,0
2,33,44,0,0
99,47,14,0,0
4,28,40,1,1
116,16,51,0,0
73,48,39,0,0
73,53,52,1,1
1,62,50,0,0
59,35,4,0,0
54,12,38,0,0
4,25,33,0,0
68,5,58,0,0
47,25,21,0,0
0,58,24,0,0
105,40,17,0,0
74,24,2,0,0
73,60,59,0,0
21,35,23,0,0
104,48,36,0,0
86,53,54,0,0
110,58,57,0,0
120,52,48,0,0
23,21,31,0,0
21,53,3,0,0
61,14,25,0,0
65,24,25,0,0
55,15,58,1,1
42,58,43,0,0
26,18,34,0,0
60,31,12,0,0
66,46,33,0,0
2,60,41,0,0
65,11,24,0,0
16,33,48,0,0
60,28,21,0,0
109,24,33,1,1
7,31,62,0,0
123,5,15,0,0
54,18,12,0,0
18,14,0,0,0
48,53,55,0,0
53,29,54,0,0
13,15,14,0,0
121,8,42,0,0
28,47,23,0,0
69,58,11,0,0
94,31,32,0,0
32,48,35,0,0
73,24,29,0,0
30,16,31,0,0
10,56,44,0,0
15,30,18,0,0
114,53,21,0,0
39,56,6,1,1
54,49,37,0,0
104,3,9,0,0
57,62,47,0,0
117,53,17,0,0
80,15,5,0,0
35,12,15,0,0
106,60,28,0,0
33,14,52,1,1
111,58,4,0,0
110,8,48,0,0
101,58,17,0,0
27,1,12,0,0
14,58,48,0,0
124,24,2,0,0
74,58,33,0,0
78,35,54,0,0
8,28,13,0,0
25,58,13,0,0
33,18,26,0,0
65,52,38,0,0
31,28,60,0,0
23,52,59,0,0
97,62,40,0,0
53,1,12,0,0
32,53,58,0,0
75,48,62,0,0
44,31,14,1,1
90,18,4,0,0
81,62,28,0,0
98,21,14,0,0
109,47,62,0,0
43,0,14,0,0
40,48,10,0,0
45,26,14,0,0
95,25,33,0,0
31,29,3,0,0
2,24,50,0,0
38,29,58,0,0
35,59,54,0,0
110,33,23,0,0
72,24,58,0,0
85,33,21,0,0
16,25,60,0,0
15,8,56,0,0
29,35,21,0,0
53,25,28,0,0
76,60,57,0,0
13,54,58,0,0
5,29,18,1,1
49,33,54,0,0
96,62,44,0,0
63,38,60,0,0
17,24,54,1,1
52,28,31,0,0
47,47,25,0,0
7,20,14,0,0
10,29,33,0,0
90,49,36,0,0
33,24,26,0,0
83,58,56,0,0
46,59,28,0,0
104,38,52,0,0
