cell,drug1_db,drug2_db,synergy,synergistic
97,55,0,0,0
70,55,28,0,0
111,51,5,0,0
85,62,30,0,0
0,41,2,0,0
109,48,33,0,0
97,13,46,0,0
120,13,3,0,0
29,40,43,0,0
12,30,61,0,0
95,53,21,0,0
119,29,39,0,0
27,26,36,0,0
34,57,54,0,0
45,46,27,0,0
88,27,43,0,0
51,46,6,0,0
75,55,4,0,0
41,26,57,1,1
67,41,6,0,0
67,38,1,0,0
36,61,37,0,0
20,61,57,0,0
88,60,11,0,0
102,51,0,0,0
67,62,6,0,0
80,20,54,0,0
10,57,56,0,0
34,57,38,0,0
11,12,57,0,0
37,7,36,0,0
73,2,57,0,0
88,51,19,0,0
29,11,51,0,0
49,60,21,0,0
91,36,52,0,0
105,56,41,0,0
67,28,45,0,0
51,1,39,0,0
73,51,5,0,0
19,17,46,0,0
17,41,43,0,0
23,60,11,0,0
21,59,36,1,1
49,20,27,0,0
20,27,49,0,0
9,33,44,0,0
7,2,7,0,0
21,52,26,0,0
84,60,9,1,1
3,36,26,0,0
28,59,43,0,0
88,41,9,0,0
73,54,5,0,0
10,11,56,0,0
37,54,41,0,0
30,0,8,0,0
9,0,43,0,0
4,46,42,0,0
58,46,26,0,0
47,13,46,0,0
49,11,55,0,0
26,41,5,0,0
14,41,47,0,0
20,57,18,0,0
120,54,28,0,0
80,41,17,0,0
23,0,38,0,0
18,53,27,0,0
57,51,5,0,0
88,62,1,0,0
123,43,38,0,0
62,20,61,0,0
23,11,4,0,0
92,51,37,0,0
105,17,43,0,0
58,25,27,0,0
84,48,54,0,0
108,45,4,0,0
87,38,37,0,0
70,57,44,0,0
119,33,0,0,0
45,33,19,0,0
57,53,25,0,0
93,23,46,0,0
38,61,23,0,0
56,45,3,0,0
10,57,5,0,0
5,57,33,0,0
22,55,57,0,0
11,42,41,0,0
48,60,21,0,0
97,46,27,0,0
75,62,28,0,0
55,5,30,0,0
85,52,54,0,0
121,54,15,0,0
18,43,55,0,0
67,60,10,0,0
72,41,61,0,0
17,37,51,1,1
123,1,62,0,0
123,33,53,0,0
35,41,57,0,0
118,54,38,0,0
54,53,55,0,0
49,11,33,0,0
46,26,17,0,0
35,2,25,0,0
124,30,51,0,0
23,33,43,0,0
122,37,7,0,0
41,1,46,0,0
32,41,61,0,0
108,51,3,0,0
120,55,48,0,0
60,53,29,0,0
51,61,60,0,0
13,38,48,0,0
75,53,60,0,0
84,54,5,0,0
9,61,50,0,0
120,29,49,0,0
115,61,45,0,0
10,60,49,0,0
23,13,62,0,0
34,26,17,0,0
107,28,26,0,0
81,52,51,0,0
114,52,16,0,0
9,45,27,0,0
33,55,57,0,0
114,54,26,0,0
106,46,30,0,0
41,62,22,0,0
120,33,55,0,0
11,27,36,0,0
109,28,51,0,0
34,38,7,0,0
122,21,17,0,0
48,54,15,0,0
81,36,16,0,0
64,33,26,0,0
70,26,1,0,0
95,42,21,1,1
24,51,31,0,0
107,41,21,0,0
64,28,39,0,0
5,1,60,0,0
66,54,29,0,0
10,54,50,0,0
109,46,1,0,0
56,20,56,0,0
88,54,14,0,0
72,41,57,0,0
95,25,36,0,0
119,55,57,0,0
59,40,26,1,1
124,42,46,0,0
24,28,43,0,0
35,36,41,0,0
9,53,13,0,0
60,45,13,0,0
59,52,27,0,0
42,24,47,0,0
1,46,20,0,0
38,46,30,0,0
41,48,27,0,0
70,43,2,0,0
49,41,23,0,0
47,51,41,0,0
19,5,38,0,0
61,52,15,0,0
80,38,53,0,0
69,36,27,0,0
60,45,31,0,0
66,51,14,0,0
85,33,54,1,1
91,52,47,0,0
45,41,31,0,0
87,2,25,0,0
4,30,36,0,0
36,61,48,0,0
28,11,61,0,0
11,53,56,0,0
118,30,25,0,0
112,21,56,0,0
120,51,54,0,0
57,26,54,1,1
29,51,38,0,0
93,23,24,0,0
32,36,59,0,0
91,38,15,1,1
58,20,57,1,1
107,55,0,0,0
84,38,61,0,0
109,20,18,0,0
14,62,54,0,0
91,23,38,0,0
106,20,37,0,0
35,5,42,0,0
73,36,51,0,0
51,38,8,0,0
95,53,17,0,0
88,13,58,0,0
109,46,48,0,0
24,57,55,0,0
33,60,23,0,0
124,38,25,0,0
94,43,28,0,0
75,46,13,0,0
107,28,60,0,0
47,54,18,0,0
92,53,56,0,0
18,43,45,0,0
35,53,7,0,0
38,59,26,0,0
92,33,46,0,0
81,53,26,0,0
97,1,59,0,0
76,38,36,0,0
119,41,53,0,0
46,27,57,0,0
42,36,41,0,0
34,2,41,0,0
124,7,27,1,1
64,29,31,0,0
9,28,49,0,0
5,43,38,0,0
62,46,61,0,0
71,46,51,0,0
71,42,27,0,0
47,62,55,0,0
72,1,39,0,0
67,51,18,0,0
56,13,48,0,0
21,53,51,0,0
49,48,6,0,0
45,46,44,0,0
91,51,21,0,0
120,13,51,0,0
51,53,61,0,0
108,60,37,0,0
47,43,44,0,0
24,28,61,0,0
88,41,57,1,1
23,51,28,0,0
22,11,38,0,0
45,41,8,0,0
101,20,7,0,0
72,13,55,0,0
5,46,53,0,0
119,60,31,0,0
66,26,41,0,0
62,57,33,0,0
32,62,11,0,0
49,45,48,0,0
30,1,50,0,0
18,38,3,0,0
91,24,61,0,0
41,41,61,0,0
30,29,57,0,0
37,43,12,0,0
85,20,27,0,0
13,61,33,0,0
85,62,11,0,0
27,60,46,0,0
76,27,51,0,0
29,15,27,0,0
72,43,60,1,1
75,11,62,0,0
81,54,27,0,0
66,53,39,0,0
13,20,26,0,0
81,20,38,0,0
33,13,29,0,0
23,20,3,0,0
62,38,39,0,0
75,29,34,0,0
35,21,54,0,0
40,11,56,0,0
18,33,56,0,0
4,54,38,0,0
22,43,18,0,0
106,5,26,0,0
103,43,1,0,0
13,43,53,1,1
120,41,56,1,1
106,27,38,0,0
70,43,8,0,0
67,60,34,0,0
97,29,60,1,1
28,26,53,0,0
20,57,17,0,0
115,61,54,0,0
21,21,24,0,0
75,61,2,0,0
20,53,29,0,0
25,55,3,0,0
106,5,27,0,0
37,46,25,0,0
75,51,61,0,0
80,27,36,0,0
115,38,11,0,0
56,57,26,0,0
47,61,14,0,0
0,57,53,0,0
1,38,20,0,0
60,0,6,0,0
102,62,54,0,0
55,2,12,0,0
81,62,15,0,0
108,48,39,0,0
24,1,38,0,0
69,54,53,0,0
11,43,53,0,0
62,54,46,0,0
116,57,20,0,0
10,45,1,0,0
70,1,6,0,0
102,43,26,0,0
65,57,42,0,0
