cell,drug1_db,drug2_db,synergy,synergistic
79,16,26,0,0
99,16,44,0,0
8,41,44,0,0
9,48,29,1,1
7,59,60,0,0
101,2,38,0,0
18,20,61,0,0
48,45,19,0,0
113,41,23,0,0
55,38,16,0,0
79,16,17,0,0
37,22,14,0,0
60,41,18,0,0
41,10,14,1,1
83,22,20,0,0
62,41,52,0,0
40,35,39,0,0
65,48,26,0,0
22,14,8,0,0
105,62,54,0,0
24,46,14,0,0
34,49,15,0,0
41,10,29,1,1
1,16,59,0,0
26,30,39,0,0
10,46,39,0,0
1,60,38,0,0
40,36,49,0,0
103,5,10,0,0
4,45,4,0,0
3,3,15,0,0
55,26,7,0,0
91,20,58,0,0
102,38,52,0,0
72,22,48,0,0
40,52,9,0,0
67,16,49,1,1
41,3,62,0,0
35,9,55,0,0
56,52,56,0,0
102,62,14,0,0
102,22,24,0,0
48,60,62,1,1
84,52,49,0,0
116,38,45,0,0
32,49,30,0,0
20,61,18,0,0
54,30,9,0,0
19,14,13,0,0
68,14,31,0,0
20,41,58,0,0
64,55,32,0,0
68,11,18,0,0
41,46,2,0,0
7,14,42,0,0
8,29,21,0,0
81,2,20,0,0
62,59,22,1,1
97,9,17,0,0
68,10,25,0,0
10,3,10,0,0
15,29,46,0,0
23,15,36,0,0
42,48,32,0,0
83,27,14,0,0
77,35,53,0,0
40,52,28,0,0
3,29,32,0,0
37,0,39,0,0
118,39,3,0,0
16,50,37,0,0
19,11,15,1,1
42,16,30,0,0
46,10,7,0,0
102,41,20,0,0
46,35,0,0,0
36,35,55,0,0
55,48,52,0,0
33,27,9,0,0
53,62,15,0,0
21,38,13,0,0
66,15,12,0,0
88,32,57,0,0
17,10,55,1,1
35,55,41,0,0
113,27,31,0,0
29,2,9,0,0
101,11,45,0,0
97,14,54,0,0
104,60,10,0,0
97,41,54,0,0
27,22,61,0,0
59,39,62,0,0
112,62,6,0,0
76,9,10,0,0
85,2,60,0,0
81,38,1,0,0
112,6,10,0,0
61,26,43,0,0
9,32,44,0,0
93,55,36,0,0
61,10,32,0,0
117,15,12,0,0
55,45,42,0,0
92,55,9,0,0
16,55,56,0,0
92,41,30,0,0
81,24,56,0,0
46,41,15,0,0
75,28,58,0,0
112,16,8,0,0
27,28,9,0,0
11,2,49,0,0
30,35,9,0,0
116,45,54,0,0
44,11,1,0,0
109,6,10,0,0
29,28,22,0,0
19,26,27,0,0
53,9,2,0,0
10,48,3,0,0
124,48,41,0,0
7,48,36,0,0
43,27,38,0,0
43,60,42,0,0
71,38,42,0,0
61,27,60,0,0
20,24,53,0,0
62,24,22,0,0
63,50,10,1,1
76,11,27,0,0
114,9,29,0,0
90,59,15,0,0
95,15,9,0,0
33,11,56,0,0
95,0,44,0,0
55,38,41,0,0
102,22,49,1,1
43,16,19,0,0
57,32,25,0,0
34,37,5,0,0
124,0,2,0,0
15,29,6,0,0
48,11,17,0,0
106,41,28,0,0
6,56,31,0,0
52,22,62,0,0
97,11,9,0,0
58,28,22,0,0
109,59,35,0,0
13,38,28,0,0
89,32,16,0,0
53,35,45,0,0
