cell,drug1_db,drug2_db,synergy,synergistic
122,24,46,0,0
34,1,18,0,0
20,48,52,0,0
47,11,4,0,0
82,41,62,0,0
86,36,31,0,0
89,45,44,0,0
53,24,10,0,0
88,23,36,1,1
67,35,7,0,0
67,15,4,0,0
109,34,21,0,0
80,34,36,0,0
106,20,23,0,0
89,30,9,0,0
67,48,7,0,0
57,36,28,0,0
9,20,53,0,0
46,49,36,0,0
89,1,12,0,0
104,9,1,0,0
93,53,2,0,0
2,59,50,0,0
49,13,41,0,0
40,28,35,0,0
67,46,43,0,0
22,4,23,0,0
46,1,18,0,0
120,26,13,0,0
75,35,44,0,0
106,6,1,0,0
114,30,9,0,0
108,27,53,1,1
108,2,23,0,0
18,30,61,1,1
110,53,23,0,0
8,27,44,0,0
89,35,61,0,0
68,42,14,0,0
105,41,30,0,0
55,42,44,0,0
58,13,32,0,0
30,13,23,0,0
115,9,24,0,0
76,35,18,0,0
85,35,50,0,0
80,36,57,0,0
35,31,46,0,0
102,35,26,0,0
114,42,15,0,0
3,23,26,0,0
105,9,36,0,0
22,30,23,0,0
33,1,18,0,0
89,48,4,0,0
114,9,10,0,0
40,26,44,0,0
10,30,13,0,0
18,19,31,0,0
21,43,10,0,0
111,56,12,0,0
25,34,58,0,0
23,43,38,0,0
103,36,56,0,0
94,24,36,0,0
53,48,46,0,0
16,18,52,0,0
66,31,40,0,0
37,35,34,0,0
75,21,1,1,1
112,4,48,0,0
105,46,8,0,0
112,56,11,0,0
70,35,36,0,0
118,31,15,0,0
116,15,9,0,0
54,11,24,0,0
115,9,56,0,0
87,23,26,0,0
70,49,0,0,0
114,56,44,0,0
113,21,20,0,0
88,4,13,0,0
91,35,34,0,0
21,1,38,0,0
35,24,19,0,0
19,11,41,0,0
124,34,30,0,0
77,36,26,0,0
53,11,30,0,0
55,34,29,0,0
35,41,54,0,0
28,34,43,0,0
114,3,48,0,0
86,23,26,0,0
7,46,23,0,0
11,17,30,0,0
5,2,1,0,0
11,58,40,0,0
69,2,5,0,0
11,16,59,0,0
29,18,28,0,0
61,24,36,0,0
69,31,23,0,0
35,56,24,0,0
1,46,1,0,0
86,15,20,0,0
24,6,20,0,0
105,43,60,0,0
105,13,22,0,0
56,31,40,0,0
5,53,5,0,0
100,56,23,0,0
122,23,4,0,0
99,32,59,1,1
100,46,62,0,0
57,31,29,0,0
1,13,4,0,0
23,47,28,0,0
37,35,36,0,0
82,24,36,0,0
90,35,26,0,0
38,30,15,0,0
52,35,44,0,0
70,53,35,0,0
19,43,3,0,0
59,2,45,0,0
47,23,30,0,0
51,16,50,0,0
0,13,47,0,0
49,43,59,0,0
65,1,35,0,0
120,18,15,0,0
64,2,40,0,0
19,43,37,0,0
90,34,4,0,0
20,56,31,1,1
123,49,0,0,0
58,52,53,0,0
83,30,16,0,0
74,59,28,0,0
35,1,31,0,0
104,1,15,0,0
63,58,16,0,0
93,15,40,1,1
105,41,55,1,1
18,15,34,0,0
1,47,57,0,0
85,48,31,0,0
93,58,15,0,0
15,47,21,0,0
70,18,32,0,0
12,45,18,0,0
46,53,1,0,0
72,56,28,0,0
124,15,14,0,0
99,11,26,0,0
49,23,22,0,0
89,3,8,0,0
1,13,19,0,0
6,36,24,0,0
3,23,61,0,0
7,46,30,0,0
70,11,20,0,0
25,27,23,0,0
5,11,23,0,0
82,35,11,0,0
51,53,35,0,0
86,49,35,0,0
43,34,13,0,0
100,41,37,0,0
55,46,54,0,0
31,32,45,0,0
12,11,51,0,0
111,13,25,0,0
35,3,1,0,0
65,44,25,0,0
89,35,36,1,1
114,1,46,0,0
37,3,24,0,0
82,30,37,0,0
45,36,56,0,0
47,36,12,1,1
91,48,9,0,0
93,16,34,0,0
88,35,34,0,0
68,41,36,0,0
9,44,6,0,0
73,34,56,0,0
20,48,9,0,0
17,30,13,0,0
41,45,1,0,0
104,40,45,0,0
53,9,48,0,0
27,11,62,0,0
5,47,15,0,0
61,3,41,0,0
114,47,38,0,0
53,41,55,0,0
70,59,31,0,0
47,41,39,0,0
50,56,28,0,0
58,31,15,0,0
94,44,57,0,0
15,18,23,0,0
14,21,31,0,0
73,44,11,1,1
122,44,14,0,0
81,41,30,1,1
8,23,11,0,0
26,42,13,0,0
80,36,26,0,0
28,34,31,0,0
42,48,16,0,0
108,59,16,0,0
107,5,15,0,0
24,53,1,0,0
80,11,41,0,0
15,18,45,0,0
53,1,34,0,0
28,15,9,0,0
10,47,1,0,0
72,1,6,0,0
26,42,48,0,0
84,48,31,0,0
16,49,6,0,0
5,48,40,0,0
21,19,62,0,0
117,31,11,0,0
97,44,11,0,0
45,31,13,0,0
121,36,47,0,0
57,43,4,0,0
49,36,48,0,0
84,44,23,0,0
36,34,60,0,0
18,9,43,0,0
78,9,22,0,0
39,15,52,0,0
27,3,54,0,0
65,48,61,0,0
87,56,53,0,0
94,30,7,0,0
21,23,60,0,0
118,18,49,0,0
80,47,25,0,0
62,0,21,0,0
65,45,24,0,0
38,2,1,0,0
36,1,29,0,0
75,0,21,0,0
108,13,47,0,0
69,5,44,0,0
11,11,5,0,0
43,41,25,0,0
114,4,24,0,0
64,40,13,1,1
122,13,10,0,0
43,3,35,0,0
50,23,55,0,0
111,48,56,0,0
112,9,47,0,0
121,53,28,0,0
87,15,20,0,0
103,44,25,0,0
63,15,59,0,0
114,41,33,0,0
108,17,15,1,1
38,35,34,0,0
7,46,39,0,0
115,36,9,0,0
4,44,36,0,0
119,59,15,0,0
12,13,60,0,0
80,34,38,0,0
45,31,21,0,0
58,31,6,0,0
107,40,50,0,0
41,31,20,0,0
103,30,49,0,0
104,58,35,0,0
78,31,13,0,0
122,34,7,0,0
74,20,56,0,0
61,42,14,0,0
61,19,10,0,0
97,36,53,0,0
62,23,52,0,0
18,31,10,0,0
86,0,36,0,0
124,23,22,0,0
90,43,54,0,0
30,47,44,0,0
55,9,62,0,0
44,52,23,0,0
98,56,34,0,0
18,1,4,0,0
